Received speaker: uan://localhost:3030/id98 to register with server uan://localhost:3030/id1
Speaker started with uan: uan://localhost:3030/id98
[Speaker Local]: ANSWER: User 88: Answer 172.; Timestamp: 2019-11-13 23:17:53.523
[Speaker Local]: ANSWER: User 88: Answer 29.; Timestamp: 2019-11-13 23:17:55.897
[Speaker Local]: ANSWER: User 88: Answer 931.; Timestamp: 2019-11-13 23:17:55.899
[Speaker Local]: ANSWER: User 88: Answer 38.; Timestamp: 2019-11-13 23:17:55.9
[Speaker Local]: ANSWER: User 88: Answer 541.; Timestamp: 2019-11-13 23:17:55.901
[Speaker Local]: ANSWER: User 88: Answer 251.; Timestamp: 2019-11-13 23:17:55.902
[Speaker Local]: ANSWER: User 88: Answer 697.; Timestamp: 2019-11-13 23:17:56.89
[Speaker Local]: ANSWER: User 88: Answer 396.; Timestamp: 2019-11-13 23:18:04.017
[Speaker Local]: ANSWER: User 88: Answer 372.; Timestamp: 2019-11-13 23:18:04.018
[Speaker Local]: ANSWER: User 88: Answer 314.; Timestamp: 2019-11-13 23:18:04.019
[Speaker Local]: ANSWER: User 88: Answer 845.; Timestamp: 2019-11-13 23:18:04.02
[Speaker Local]: ANSWER: User 88: Answer 934.; Timestamp: 2019-11-13 23:18:04.021
[Speaker Local]: ANSWER: User 88: Answer 569.; Timestamp: 2019-11-13 23:18:04.022
[Speaker Local]: ANSWER: User 88: Answer 41.; Timestamp: 2019-11-13 23:18:04.022
[Speaker Local]: ANSWER: User 88: Answer 2.; Timestamp: 2019-11-13 23:18:04.023
[Speaker Local]: ANSWER: User 88: Answer 711.; Timestamp: 2019-11-13 23:18:04.024
[Speaker Local]: ANSWER: User 88: Answer 947.; Timestamp: 2019-11-13 23:18:04.025
[Speaker Local]: ANSWER: User 88: Answer 119.; Timestamp: 2019-11-13 23:18:04.027
[Speaker Local]: ANSWER: User 88: Answer 804.; Timestamp: 2019-11-13 23:18:04.027
[Speaker Local]: ANSWER: User 88: Answer 175.; Timestamp: 2019-11-13 23:18:04.029
