Received speaker: uan://localhost:3030/id42 to register with server uan://localhost:3030/id1
Speaker started with uan: uan://localhost:3030/id42
[Speaker Local]: ANSWER: User 32: Answer 593.; Timestamp: 2019-11-13 23:14:34.643
[Speaker Local]: ANSWER: User 32: Answer 527.; Timestamp: 2019-11-13 23:14:38.708
[Speaker Local]: ANSWER: User 32: Answer 340.; Timestamp: 2019-11-13 23:14:38.71
[Speaker Local]: ANSWER: User 32: Answer 863.; Timestamp: 2019-11-13 23:14:38.711
[Speaker Local]: ANSWER: User 32: Answer 731.; Timestamp: 2019-11-13 23:14:38.712
[Speaker Local]: ANSWER: User 32: Answer 11.; Timestamp: 2019-11-13 23:14:38.715
[Speaker Local]: ANSWER: User 32: Answer 256.; Timestamp: 2019-11-13 23:14:38.716
[Speaker Local]: ANSWER: User 32: Answer 846.; Timestamp: 2019-11-13 23:14:38.717
[Speaker Local]: ANSWER: User 32: Answer 920.; Timestamp: 2019-11-13 23:14:38.718
[Speaker Local]: ANSWER: User 32: Answer 830.; Timestamp: 2019-11-13 23:14:38.719
[Speaker Local]: ANSWER: User 32: Answer 496.; Timestamp: 2019-11-13 23:14:38.719
[Speaker Local]: ANSWER: User 32: Answer 478.; Timestamp: 2019-11-13 23:14:38.72
[Speaker Local]: ANSWER: User 32: Answer 213.; Timestamp: 2019-11-13 23:14:38.722
[Speaker Local]: ANSWER: User 32: Answer 207.; Timestamp: 2019-11-13 23:14:38.723
[Speaker Local]: ANSWER: User 32: Answer 319.; Timestamp: 2019-11-13 23:14:38.724
[Speaker Local]: ANSWER: User 32: Answer 598.; Timestamp: 2019-11-13 23:14:38.728
[Speaker Local]: ANSWER: User 32: Answer 884.; Timestamp: 2019-11-13 23:14:38.73
[Speaker Local]: ANSWER: User 32: Answer 811.; Timestamp: 2019-11-13 23:14:38.73
[Speaker Local]: ANSWER: User 32: Answer 921.; Timestamp: 2019-11-13 23:14:38.731
[Speaker Local]: ANSWER: User 32: Answer 494.; Timestamp: 2019-11-13 23:14:38.732
[Speaker Local]: ANSWER: User 32: Answer 272.; Timestamp: 2019-11-13 23:14:38.733
[Speaker Local]: ANSWER: User 32: Answer 986.; Timestamp: 2019-11-13 23:14:38.734
[Speaker Local]: ANSWER: User 32: Answer 662.; Timestamp: 2019-11-13 23:14:38.735
[Speaker Local]: ANSWER: User 32: Answer 844.; Timestamp: 2019-11-13 23:14:38.736
[Speaker Local]: ANSWER: User 32: Answer 880.; Timestamp: 2019-11-13 23:14:38.737
[Speaker Local]: ANSWER: User 32: Answer 937.; Timestamp: 2019-11-13 23:14:38.739
[Speaker Local]: ANSWER: User 32: Answer 448.; Timestamp: 2019-11-13 23:14:38.74
[Speaker Local]: ANSWER: User 32: Answer 969.; Timestamp: 2019-11-13 23:14:38.741
[Speaker Local]: ANSWER: User 32: Answer 343.; Timestamp: 2019-11-13 23:14:38.742
[Speaker Local]: ANSWER: User 32: Answer 538.; Timestamp: 2019-11-13 23:14:38.743
[Speaker Local]: ANSWER: User 32: Answer 349.; Timestamp: 2019-11-13 23:14:38.744
[Speaker Local]: ANSWER: User 32: Answer 60.; Timestamp: 2019-11-13 23:14:38.745
[Speaker Local]: ANSWER: User 32: Answer 288.; Timestamp: 2019-11-13 23:15:09.023
[Speaker Local]: ANSWER: User 32: Answer 265.; Timestamp: 2019-11-13 23:15:09.025
[Speaker Local]: ANSWER: User 32: Answer 987.; Timestamp: 2019-11-13 23:15:09.026
[Speaker Local]: ANSWER: User 32: Answer 237.; Timestamp: 2019-11-13 23:15:09.027
[Speaker Local]: ANSWER: User 32: Answer 604.; Timestamp: 2019-11-13 23:15:09.028
[Speaker Local]: ANSWER: User 32: Answer 455.; Timestamp: 2019-11-13 23:15:09.028
[Speaker Local]: ANSWER: User 32: Answer 526.; Timestamp: 2019-11-13 23:15:09.028
[Speaker Local]: ANSWER: User 32: Answer 692.; Timestamp: 2019-11-13 23:15:09.029
[Speaker Local]: ANSWER: User 32: Answer 659.; Timestamp: 2019-11-13 23:15:09.029
[Speaker Local]: ANSWER: User 32: Answer 626.; Timestamp: 2019-11-13 23:15:09.03
[Speaker Local]: ANSWER: User 32: Answer 533.; Timestamp: 2019-11-13 23:15:09.03
[Speaker Local]: ANSWER: User 32: Answer 375.; Timestamp: 2019-11-13 23:15:09.031
[Speaker Local]: ANSWER: User 32: Answer 724.; Timestamp: 2019-11-13 23:15:09.032
[Speaker Local]: ANSWER: User 32: Answer 402.; Timestamp: 2019-11-13 23:15:09.034
[Speaker Local]: ANSWER: User 32: Answer 430.; Timestamp: 2019-11-13 23:15:09.038
[Speaker Local]: ANSWER: User 32: Answer 475.; Timestamp: 2019-11-13 23:15:09.041
[Speaker Local]: ANSWER: User 32: Answer 528.; Timestamp: 2019-11-13 23:15:09.043
[Speaker Local]: ANSWER: User 32: Answer 961.; Timestamp: 2019-11-13 23:15:09.047
[Speaker Local]: ANSWER: User 32: Answer 689.; Timestamp: 2019-11-13 23:15:09.048
[Speaker Local]: ANSWER: User 32: Answer 322.; Timestamp: 2019-11-13 23:15:09.049
[Speaker Local]: ANSWER: User 32: Answer 67.; Timestamp: 2019-11-13 23:15:09.049
[Speaker Local]: ANSWER: User 32: Answer 325.; Timestamp: 2019-11-13 23:15:09.05
[Speaker Local]: ANSWER: User 32: Answer 471.; Timestamp: 2019-11-13 23:15:09.051
[Speaker Local]: ANSWER: User 32: Answer 93.; Timestamp: 2019-11-13 23:15:09.051
[Speaker Local]: ANSWER: User 32: Answer 303.; Timestamp: 2019-11-13 23:15:09.052
[Speaker Local]: ANSWER: User 32: Answer 862.; Timestamp: 2019-11-13 23:15:09.053
[Speaker Local]: ANSWER: User 32: Answer 91.; Timestamp: 2019-11-13 23:15:09.054
[Speaker Local]: ANSWER: User 32: Answer 204.; Timestamp: 2019-11-13 23:15:09.055
[Speaker Local]: ANSWER: User 32: Answer 151.; Timestamp: 2019-11-13 23:15:09.055
[Speaker Local]: ANSWER: User 32: Answer 129.; Timestamp: 2019-11-13 23:15:09.056
[Speaker Local]: ANSWER: User 32: Answer 23.; Timestamp: 2019-11-13 23:15:09.057
[Speaker Local]: ANSWER: User 32: Answer 771.; Timestamp: 2019-11-13 23:15:09.057
[Speaker Local]: ANSWER: User 32: Answer 960.; Timestamp: 2019-11-13 23:15:09.058
[Speaker Local]: ANSWER: User 32: Answer 697.; Timestamp: 2019-11-13 23:15:09.059
[Speaker Local]: ANSWER: User 32: Answer 511.; Timestamp: 2019-11-13 23:15:09.059
[Speaker Local]: ANSWER: User 32: Answer 353.; Timestamp: 2019-11-13 23:15:09.06
[Speaker Local]: ANSWER: User 32: Answer 674.; Timestamp: 2019-11-13 23:15:09.061
[Speaker Local]: ANSWER: User 32: Answer 713.; Timestamp: 2019-11-13 23:15:09.061
[Speaker Local]: ANSWER: User 32: Answer 442.; Timestamp: 2019-11-13 23:15:09.062
[Speaker Local]: ANSWER: User 32: Answer 985.; Timestamp: 2019-11-13 23:15:09.063
[Speaker Local]: ANSWER: User 32: Answer 890.; Timestamp: 2019-11-13 23:15:09.063
[Speaker Local]: ANSWER: User 32: Answer 582.; Timestamp: 2019-11-13 23:15:09.064
[Speaker Local]: ANSWER: User 32: Answer 154.; Timestamp: 2019-11-13 23:15:10.302
[Speaker Local]: ANSWER: User 32: Answer 855.; Timestamp: 2019-11-13 23:15:10.309
[Speaker Local]: ANSWER: User 32: Answer 673.; Timestamp: 2019-11-13 23:15:10.311
[Speaker Local]: ANSWER: User 32: Answer 932.; Timestamp: 2019-11-13 23:15:10.312
[Speaker Local]: ANSWER: User 32: Answer 683.; Timestamp: 2019-11-13 23:15:10.314
[Speaker Local]: ANSWER: User 32: Answer 591.; Timestamp: 2019-11-13 23:15:10.316
[Speaker Local]: ANSWER: User 32: Answer 121.; Timestamp: 2019-11-13 23:15:10.318
[Speaker Local]: ANSWER: User 32: Answer 555.; Timestamp: 2019-11-13 23:15:10.319
[Speaker Local]: ANSWER: User 32: Answer 30.; Timestamp: 2019-11-13 23:15:10.321
[Speaker Local]: ANSWER: User 32: Answer 925.; Timestamp: 2019-11-13 23:15:10.323
[Speaker Local]: ANSWER: User 32: Answer 257.; Timestamp: 2019-11-13 23:15:10.325
[Speaker Local]: ANSWER: User 32: Answer 815.; Timestamp: 2019-11-13 23:15:10.327
[Speaker Local]: ANSWER: User 32: Answer 334.; Timestamp: 2019-11-13 23:15:10.331
[Speaker Local]: ANSWER: User 32: Answer 589.; Timestamp: 2019-11-13 23:15:10.332
[Speaker Local]: ANSWER: User 32: Answer 233.; Timestamp: 2019-11-13 23:15:10.332
[Speaker Local]: ANSWER: User 32: Answer 635.; Timestamp: 2019-11-13 23:15:10.333
[Speaker Local]: ANSWER: User 32: Answer 283.; Timestamp: 2019-11-13 23:15:10.333
[Speaker Local]: ANSWER: User 32: Answer 44.; Timestamp: 2019-11-13 23:15:10.335
[Speaker Local]: ANSWER: User 32: Answer 576.; Timestamp: 2019-11-13 23:15:10.335
[Speaker Local]: ANSWER: User 32: Answer 446.; Timestamp: 2019-11-13 23:15:10.336
[Speaker Local]: ANSWER: User 32: Answer 575.; Timestamp: 2019-11-13 23:15:10.337
[Speaker Local]: ANSWER: User 32: Answer 308.; Timestamp: 2019-11-13 23:15:10.338
[Speaker Local]: ANSWER: User 32: Answer 14.; Timestamp: 2019-11-13 23:15:10.34
[Speaker Local]: ANSWER: User 32: Answer 542.; Timestamp: 2019-11-13 23:15:10.34
[Speaker Local]: ANSWER: User 32: Answer 110.; Timestamp: 2019-11-13 23:15:10.341
[Speaker Local]: ANSWER: User 32: Answer 166.; Timestamp: 2019-11-13 23:15:10.342
[Speaker Local]: ANSWER: User 32: Answer 763.; Timestamp: 2019-11-13 23:15:10.343
[Speaker Local]: ANSWER: User 32: Answer 680.; Timestamp: 2019-11-13 23:15:10.344
[Speaker Local]: ANSWER: User 32: Answer 305.; Timestamp: 2019-11-13 23:15:10.345
[Speaker Local]: ANSWER: User 32: Answer 90.; Timestamp: 2019-11-13 23:15:10.345
[Speaker Local]: ANSWER: User 32: Answer 189.; Timestamp: 2019-11-13 23:15:11.729
[Speaker Local]: ANSWER: User 32: Answer 488.; Timestamp: 2019-11-13 23:15:11.731
[Speaker Local]: ANSWER: User 32: Answer 899.; Timestamp: 2019-11-13 23:15:11.732
[Speaker Local]: ANSWER: User 32: Answer 54.; Timestamp: 2019-11-13 23:15:11.733
[Speaker Local]: ANSWER: User 32: Answer 594.; Timestamp: 2019-11-13 23:15:11.733
[Speaker Local]: ANSWER: User 32: Answer 517.; Timestamp: 2019-11-13 23:15:11.734
[Speaker Local]: ANSWER: User 32: Answer 255.; Timestamp: 2019-11-13 23:15:11.735
[Speaker Local]: ANSWER: User 32: Answer 508.; Timestamp: 2019-11-13 23:15:11.735
