Received speaker: uan://localhost:3030/id38 to register with server uan://localhost:3030/id1
Message Sending Error:
	ActorReference: gc.WeakReference: uan://localhost:3030/id1, null
	Message: registerUser(java.lang.String), target: gc.WeakReference: uan://localhost:3030/id1, null, source: gc.WeakReference: uan://localhost:3030/id38, rmsp://127.0.1.1:53949/UAL/1573685011375/1
	NamingService could not determine target for message.
Speaker started with uan: uan://localhost:3030/id38
[Speaker Local]: STATEMENT: User 28: Ordered message 527.; Timestamp: 2019-11-13 22:45:26.27
[Speaker Local]: STATEMENT: User 28: Ordered message 522.; Timestamp: 2019-11-13 22:45:26.271
[Speaker Local]: STATEMENT: User 28: Ordered message 591.; Timestamp: 2019-11-13 22:45:26.271
[Speaker Local]: STATEMENT: User 28: Ordered message 992.; Timestamp: 2019-11-13 22:45:26.272
[Speaker Local]: STATEMENT: User 28: Ordered message 313.; Timestamp: 2019-11-13 22:45:26.273
[Speaker Local]: STATEMENT: User 28: Ordered message 840.; Timestamp: 2019-11-13 22:45:26.273
[Speaker Local]: STATEMENT: User 28: Ordered message 584.; Timestamp: 2019-11-13 22:45:26.274
[Speaker Local]: STATEMENT: User 28: Ordered message 822.; Timestamp: 2019-11-13 22:45:26.275
[Speaker Local]: STATEMENT: User 28: Ordered message 185.; Timestamp: 2019-11-13 22:45:26.275
[Speaker Local]: STATEMENT: User 28: Ordered message 207.; Timestamp: 2019-11-13 22:45:26.276
[Speaker Local]: STATEMENT: User 28: Ordered message 630.; Timestamp: 2019-11-13 22:45:26.277
[Speaker Local]: STATEMENT: User 28: Ordered message 816.; Timestamp: 2019-11-13 22:45:29.667
[Speaker Local]: STATEMENT: User 28: Ordered message 349.; Timestamp: 2019-11-13 22:45:29.67
[Speaker Local]: STATEMENT: User 28: Ordered message 423.; Timestamp: 2019-11-13 22:45:29.671
[Speaker Local]: STATEMENT: User 28: Ordered message 177.; Timestamp: 2019-11-13 22:45:29.672
[Speaker Local]: STATEMENT: User 28: Ordered message 152.; Timestamp: 2019-11-13 22:45:29.673
[Speaker Local]: STATEMENT: User 28: Ordered message 285.; Timestamp: 2019-11-13 22:45:29.674
[Speaker Local]: STATEMENT: User 28: Ordered message 545.; Timestamp: 2019-11-13 22:45:29.676
[Speaker Local]: STATEMENT: User 28: Ordered message 892.; Timestamp: 2019-11-13 22:45:29.678
[Speaker Local]: STATEMENT: User 28: Ordered message 968.; Timestamp: 2019-11-13 22:45:29.679
[Speaker Local]: STATEMENT: User 28: Ordered message 85.; Timestamp: 2019-11-13 22:45:29.68
[Speaker Local]: STATEMENT: User 28: Ordered message 411.; Timestamp: 2019-11-13 22:45:29.681
[Speaker Local]: STATEMENT: User 28: Ordered message 171.; Timestamp: 2019-11-13 22:45:29.682
[Speaker Local]: STATEMENT: User 28: Ordered message 970.; Timestamp: 2019-11-13 22:45:29.682
[Speaker Local]: STATEMENT: User 28: Ordered message 218.; Timestamp: 2019-11-13 22:45:29.683
[Speaker Local]: STATEMENT: User 28: Ordered message 258.; Timestamp: 2019-11-13 22:45:29.684
[Speaker Local]: STATEMENT: User 28: Ordered message 865.; Timestamp: 2019-11-13 22:45:29.685
[Speaker Local]: STATEMENT: User 28: Ordered message 42.; Timestamp: 2019-11-13 22:45:29.685
[Speaker Local]: STATEMENT: User 28: Ordered message 734.; Timestamp: 2019-11-13 22:45:29.686
[Speaker Local]: STATEMENT: User 28: Ordered message 797.; Timestamp: 2019-11-13 22:45:29.687
[Speaker Local]: STATEMENT: User 28: Ordered message 401.; Timestamp: 2019-11-13 22:45:29.691
[Speaker Local]: STATEMENT: User 28: Ordered message 767.; Timestamp: 2019-11-13 22:45:29.7
[Speaker Local]: STATEMENT: User 28: Ordered message 995.; Timestamp: 2019-11-13 22:45:29.706
[Speaker Local]: STATEMENT: User 28: Ordered message 96.; Timestamp: 2019-11-13 22:45:29.706
[Speaker Local]: STATEMENT: User 28: Ordered message 542.; Timestamp: 2019-11-13 22:45:29.709
[Speaker Local]: STATEMENT: User 28: Ordered message 350.; Timestamp: 2019-11-13 22:45:29.71
[Speaker Local]: STATEMENT: User 28: Ordered message 488.; Timestamp: 2019-11-13 22:45:29.712
[Speaker Local]: STATEMENT: User 28: Ordered message 872.; Timestamp: 2019-11-13 22:45:29.712
[Speaker Local]: STATEMENT: User 28: Ordered message 205.; Timestamp: 2019-11-13 22:45:29.713
[Speaker Local]: STATEMENT: User 28: Ordered message 605.; Timestamp: 2019-11-13 22:45:29.714
[Speaker Local]: STATEMENT: User 28: Ordered message 695.; Timestamp: 2019-11-13 22:45:29.714
[Speaker Local]: STATEMENT: User 28: Ordered message 985.; Timestamp: 2019-11-13 22:45:29.715
[Speaker Local]: STATEMENT: User 28: Ordered message 786.; Timestamp: 2019-11-13 22:45:29.716
[Speaker Local]: STATEMENT: User 28: Ordered message 805.; Timestamp: 2019-11-13 22:45:29.717
[Speaker Local]: STATEMENT: User 28: Ordered message 562.; Timestamp: 2019-11-13 22:45:29.717
[Speaker Local]: STATEMENT: User 28: Ordered message 366.; Timestamp: 2019-11-13 22:45:29.718
[Speaker Local]: STATEMENT: User 28: Ordered message 324.; Timestamp: 2019-11-13 22:45:36.389
[Speaker Local]: STATEMENT: User 28: Ordered message 373.; Timestamp: 2019-11-13 22:45:36.392
[Speaker Local]: STATEMENT: User 28: Ordered message 124.; Timestamp: 2019-11-13 22:45:36.392
[Speaker Local]: STATEMENT: User 28: Ordered message 635.; Timestamp: 2019-11-13 22:45:36.393
[Speaker Local]: STATEMENT: User 28: Ordered message 837.; Timestamp: 2019-11-13 22:45:36.393
[Speaker Local]: STATEMENT: User 28: Ordered message 186.; Timestamp: 2019-11-13 22:45:36.393
[Speaker Local]: STATEMENT: User 28: Ordered message 198.; Timestamp: 2019-11-13 22:45:36.394
[Speaker Local]: STATEMENT: User 28: Ordered message 343.; Timestamp: 2019-11-13 22:45:36.394
[Speaker Local]: STATEMENT: User 28: Ordered message 120.; Timestamp: 2019-11-13 22:45:36.395
[Speaker Local]: STATEMENT: User 28: Ordered message 839.; Timestamp: 2019-11-13 22:45:36.395
[Speaker Local]: STATEMENT: User 28: Ordered message 680.; Timestamp: 2019-11-13 22:45:36.398
[Speaker Local]: STATEMENT: User 28: Ordered message 861.; Timestamp: 2019-11-13 22:45:36.399
[Speaker Local]: STATEMENT: User 28: Ordered message 546.; Timestamp: 2019-11-13 22:45:36.399
[Speaker Local]: STATEMENT: User 28: Ordered message 496.; Timestamp: 2019-11-13 22:45:36.399
[Speaker Local]: STATEMENT: User 28: Ordered message 267.; Timestamp: 2019-11-13 22:45:36.4
[Speaker Local]: STATEMENT: User 28: Ordered message 882.; Timestamp: 2019-11-13 22:45:36.402
[Speaker Local]: STATEMENT: User 28: Ordered message 555.; Timestamp: 2019-11-13 22:45:36.403
[Speaker Local]: STATEMENT: User 28: Ordered message 219.; Timestamp: 2019-11-13 22:45:36.405
[Speaker Local]: STATEMENT: User 28: Ordered message 226.; Timestamp: 2019-11-13 22:45:40.034
[Speaker Local]: STATEMENT: User 28: Ordered message 702.; Timestamp: 2019-11-13 22:45:40.035
[Speaker Local]: STATEMENT: User 28: Ordered message 330.; Timestamp: 2019-11-13 22:45:40.035
[Speaker Local]: STATEMENT: User 28: Ordered message 416.; Timestamp: 2019-11-13 22:45:40.036
[Speaker Local]: STATEMENT: User 28: Ordered message 681.; Timestamp: 2019-11-13 22:45:40.036
[Speaker Local]: STATEMENT: User 28: Ordered message 670.; Timestamp: 2019-11-13 22:45:40.036
[Speaker Local]: STATEMENT: User 28: Ordered message 513.; Timestamp: 2019-11-13 22:45:40.037
[Speaker Local]: STATEMENT: User 28: Ordered message 884.; Timestamp: 2019-11-13 22:45:40.037
[Speaker Local]: STATEMENT: User 28: Ordered message 329.; Timestamp: 2019-11-13 22:45:40.038
[Speaker Local]: STATEMENT: User 28: Ordered message 410.; Timestamp: 2019-11-13 22:45:40.038
[Speaker Local]: STATEMENT: User 28: Ordered message 819.; Timestamp: 2019-11-13 22:45:40.038
[Speaker Local]: STATEMENT: User 28: Ordered message 74.; Timestamp: 2019-11-13 22:45:40.039
[Speaker Local]: STATEMENT: User 28: Ordered message 505.; Timestamp: 2019-11-13 22:45:40.039
[Speaker Local]: STATEMENT: User 28: Ordered message 671.; Timestamp: 2019-11-13 22:45:40.039
[Speaker Local]: STATEMENT: User 28: Ordered message 720.; Timestamp: 2019-11-13 22:45:40.04
[Speaker Local]: STATEMENT: User 28: Ordered message 529.; Timestamp: 2019-11-13 22:45:40.041
[Speaker Local]: STATEMENT: User 28: Ordered message 112.; Timestamp: 2019-11-13 22:45:40.042
[Speaker Local]: STATEMENT: User 28: Ordered message 919.; Timestamp: 2019-11-13 22:45:40.043
[Speaker Local]: STATEMENT: User 28: Ordered message 692.; Timestamp: 2019-11-13 22:45:40.045
[Speaker Local]: STATEMENT: User 28: Ordered message 675.; Timestamp: 2019-11-13 22:45:40.045
[Speaker Local]: STATEMENT: User 28: Ordered message 438.; Timestamp: 2019-11-13 22:45:40.046
[Speaker Local]: STATEMENT: User 28: Ordered message 731.; Timestamp: 2019-11-13 22:45:40.046
[Speaker Local]: STATEMENT: User 28: Ordered message 920.; Timestamp: 2019-11-13 22:45:40.046
[Speaker Local]: STATEMENT: User 28: Ordered message 62.; Timestamp: 2019-11-13 22:45:41.491
[Speaker Local]: STATEMENT: User 28: Ordered message 97.; Timestamp: 2019-11-13 22:45:41.493
[Speaker Local]: STATEMENT: User 28: Ordered message 682.; Timestamp: 2019-11-13 22:45:41.495
[Speaker Local]: STATEMENT: User 28: Ordered message 413.; Timestamp: 2019-11-13 22:45:41.496
[Speaker Local]: STATEMENT: User 28: Ordered message 530.; Timestamp: 2019-11-13 22:45:41.497
[Speaker Local]: STATEMENT: User 28: Ordered message 748.; Timestamp: 2019-11-13 22:45:41.498
[Speaker Local]: STATEMENT: User 28: Ordered message 240.; Timestamp: 2019-11-13 22:45:41.498
[Speaker Local]: STATEMENT: User 28: Ordered message 704.; Timestamp: 2019-11-13 22:45:41.499
[Speaker Local]: STATEMENT: User 28: Ordered message 473.; Timestamp: 2019-11-13 22:45:41.499
[Speaker Local]: STATEMENT: User 28: Ordered message 110.; Timestamp: 2019-11-13 22:45:41.5
[Speaker Local]: STATEMENT: User 28: Ordered message 715.; Timestamp: 2019-11-13 22:45:41.501
[Speaker Local]: STATEMENT: User 28: Ordered message 157.; Timestamp: 2019-11-13 22:45:41.502
[Speaker Local]: STATEMENT: User 28: Ordered message 891.; Timestamp: 2019-11-13 22:45:41.502
[Speaker Local]: STATEMENT: User 28: Ordered message 178.; Timestamp: 2019-11-13 22:45:41.503
[Speaker Local]: STATEMENT: User 28: Ordered message 850.; Timestamp: 2019-11-13 22:45:41.503
[Speaker Local]: STATEMENT: User 28: Ordered message 291.; Timestamp: 2019-11-13 22:45:41.504
[Speaker Local]: STATEMENT: User 28: Ordered message 362.; Timestamp: 2019-11-13 22:45:41.505
[Speaker Local]: STATEMENT: User 28: Ordered message 497.; Timestamp: 2019-11-13 22:45:41.506
[Speaker Local]: STATEMENT: User 28: Ordered message 142.; Timestamp: 2019-11-13 22:45:41.506
[Speaker Local]: STATEMENT: User 28: Ordered message 119.; Timestamp: 2019-11-13 22:45:41.507
[Speaker Local]: STATEMENT: User 28: Ordered message 365.; Timestamp: 2019-11-13 22:45:41.507
[Speaker Local]: STATEMENT: User 28: Ordered message 103.; Timestamp: 2019-11-13 22:45:41.508
[Speaker Local]: STATEMENT: User 28: Ordered message 449.; Timestamp: 2019-11-13 22:45:41.509
[Speaker Local]: STATEMENT: User 28: Ordered message 999.; Timestamp: 2019-11-13 22:45:41.51
[Speaker Local]: STATEMENT: User 28: Ordered message 462.; Timestamp: 2019-11-13 22:45:41.511
[Speaker Local]: STATEMENT: User 28: Ordered message 363.; Timestamp: 2019-11-13 22:45:41.512
[Speaker Local]: STATEMENT: User 28: Ordered message 737.; Timestamp: 2019-11-13 22:45:41.513
