Received speaker: uan://localhost:3030/id109 to register with server uan://localhost:3030/id1
Speaker started with uan: uan://localhost:3030/id109
[Speaker Local]: ANSWER: User 99: Answer 19.; Timestamp: 2019-11-13 23:18:09.231
[Speaker Local]: ANSWER: User 99: Answer 492.; Timestamp: 2019-11-13 23:18:12.248
[Speaker Local]: ANSWER: User 99: Answer 673.; Timestamp: 2019-11-13 23:18:12.251
[Speaker Local]: ANSWER: User 99: Answer 243.; Timestamp: 2019-11-13 23:18:12.254
[Speaker Local]: ANSWER: User 99: Answer 630.; Timestamp: 2019-11-13 23:18:12.255
[Speaker Local]: ANSWER: User 99: Answer 836.; Timestamp: 2019-11-13 23:18:12.258
[Speaker Local]: ANSWER: User 99: Answer 779.; Timestamp: 2019-11-13 23:18:12.265
[Speaker Local]: ANSWER: User 99: Answer 236.; Timestamp: 2019-11-13 23:18:12.27
[Speaker Local]: ANSWER: User 99: Answer 743.; Timestamp: 2019-11-13 23:18:12.272
[Speaker Local]: ANSWER: User 99: Answer 525.; Timestamp: 2019-11-13 23:18:12.275
[Speaker Local]: ANSWER: User 99: Answer 133.; Timestamp: 2019-11-13 23:18:12.277
[Speaker Local]: ANSWER: User 99: Answer 203.; Timestamp: 2019-11-13 23:18:12.28
[Speaker Local]: ANSWER: User 99: Answer 194.; Timestamp: 2019-11-13 23:18:12.283
[Speaker Local]: ANSWER: User 99: Answer 328.; Timestamp: 2019-11-13 23:18:12.284
[Speaker Local]: ANSWER: User 99: Answer 722.; Timestamp: 2019-11-13 23:18:12.287
[Speaker Local]: ANSWER: User 99: Answer 356.; Timestamp: 2019-11-13 23:18:12.301
[Speaker Local]: ANSWER: User 99: Answer 681.; Timestamp: 2019-11-13 23:18:12.304
[Speaker Local]: ANSWER: User 99: Answer 725.; Timestamp: 2019-11-13 23:18:12.307
[Speaker Local]: ANSWER: User 99: Answer 624.; Timestamp: 2019-11-13 23:18:12.308
