Received speaker: uan://localhost:3030/id27 to register with server uan://localhost:3030/id1
Speaker started with uan: uan://localhost:3030/id27
[Speaker Local]: QUESTION: User 17: Question 542.; Timestamp: 2019-11-13 23:13:41.089
[Speaker Local]: QUESTION: User 17: Question 253.; Timestamp: 2019-11-13 23:13:46.141
[Speaker Local]: QUESTION: User 17: Question 203.; Timestamp: 2019-11-13 23:13:46.142
[Speaker Local]: QUESTION: User 17: Question 741.; Timestamp: 2019-11-13 23:13:46.143
[Speaker Local]: QUESTION: User 17: Question 199.; Timestamp: 2019-11-13 23:13:46.144
[Speaker Local]: QUESTION: User 17: Question 51.; Timestamp: 2019-11-13 23:13:46.145
[Speaker Local]: QUESTION: User 17: Question 278.; Timestamp: 2019-11-13 23:13:46.145
[Speaker Local]: QUESTION: User 17: Question 533.; Timestamp: 2019-11-13 23:13:46.146
[Speaker Local]: QUESTION: User 17: Question 782.; Timestamp: 2019-11-13 23:13:46.147
[Speaker Local]: QUESTION: User 17: Question 680.; Timestamp: 2019-11-13 23:13:46.148
[Speaker Local]: QUESTION: User 17: Question 914.; Timestamp: 2019-11-13 23:13:46.149
[Speaker Local]: QUESTION: User 17: Question 220.; Timestamp: 2019-11-13 23:13:46.15
[Speaker Local]: QUESTION: User 17: Question 544.; Timestamp: 2019-11-13 23:13:46.151
[Speaker Local]: QUESTION: User 17: Question 735.; Timestamp: 2019-11-13 23:13:46.151
[Speaker Local]: QUESTION: User 17: Question 696.; Timestamp: 2019-11-13 23:13:46.152
[Speaker Local]: QUESTION: User 17: Question 184.; Timestamp: 2019-11-13 23:13:46.154
[Speaker Local]: QUESTION: User 17: Question 657.; Timestamp: 2019-11-13 23:13:46.155
[Speaker Local]: QUESTION: User 17: Question 766.; Timestamp: 2019-11-13 23:13:46.157
[Speaker Local]: QUESTION: User 17: Question 885.; Timestamp: 2019-11-13 23:13:46.157
[Speaker Local]: QUESTION: User 17: Question 784.; Timestamp: 2019-11-13 23:13:46.158
[Speaker Local]: QUESTION: User 17: Question 697.; Timestamp: 2019-11-13 23:13:46.159
[Speaker Local]: QUESTION: User 17: Question 943.; Timestamp: 2019-11-13 23:13:46.16
[Speaker Local]: QUESTION: User 17: Question 214.; Timestamp: 2019-11-13 23:13:46.161
[Speaker Local]: QUESTION: User 17: Question 288.; Timestamp: 2019-11-13 23:13:46.161
[Speaker Local]: QUESTION: User 17: Question 202.; Timestamp: 2019-11-13 23:13:46.162
[Speaker Local]: QUESTION: User 17: Question 175.; Timestamp: 2019-11-13 23:13:46.163
[Speaker Local]: QUESTION: User 17: Question 624.; Timestamp: 2019-11-13 23:13:46.164
[Speaker Local]: QUESTION: User 17: Question 685.; Timestamp: 2019-11-13 23:13:46.164
[Speaker Local]: QUESTION: User 17: Question 598.; Timestamp: 2019-11-13 23:13:46.165
[Speaker Local]: QUESTION: User 17: Question 530.; Timestamp: 2019-11-13 23:13:46.166
[Speaker Local]: QUESTION: User 17: Question 599.; Timestamp: 2019-11-13 23:13:46.167
[Speaker Local]: QUESTION: User 17: Question 100.; Timestamp: 2019-11-13 23:13:46.167
[Speaker Local]: QUESTION: User 17: Question 415.; Timestamp: 2019-11-13 23:13:46.168
[Speaker Local]: QUESTION: User 17: Question 187.; Timestamp: 2019-11-13 23:13:46.169
[Speaker Local]: QUESTION: User 17: Question 907.; Timestamp: 2019-11-13 23:13:46.17
[Speaker Local]: QUESTION: User 17: Question 605.; Timestamp: 2019-11-13 23:13:46.171
[Speaker Local]: QUESTION: User 17: Question 765.; Timestamp: 2019-11-13 23:13:46.171
[Speaker Local]: QUESTION: User 17: Question 809.; Timestamp: 2019-11-13 23:13:46.172
[Speaker Local]: QUESTION: User 17: Question 901.; Timestamp: 2019-11-13 23:13:46.174
[Speaker Local]: QUESTION: User 17: Question 390.; Timestamp: 2019-11-13 23:13:46.684
[Speaker Local]: QUESTION: User 17: Question 262.; Timestamp: 2019-11-13 23:13:50.838
[Speaker Local]: QUESTION: User 17: Question 899.; Timestamp: 2019-11-13 23:13:50.839
[Speaker Local]: QUESTION: User 17: Question 398.; Timestamp: 2019-11-13 23:13:50.84
[Speaker Local]: QUESTION: User 17: Question 114.; Timestamp: 2019-11-13 23:13:50.84
[Speaker Local]: QUESTION: User 17: Question 672.; Timestamp: 2019-11-13 23:13:50.842
[Speaker Local]: QUESTION: User 17: Question 860.; Timestamp: 2019-11-13 23:13:50.843
[Speaker Local]: QUESTION: User 17: Question 137.; Timestamp: 2019-11-13 23:13:50.888
[Speaker Local]: QUESTION: User 17: Question 240.; Timestamp: 2019-11-13 23:13:50.89
[Speaker Local]: QUESTION: User 17: Question 528.; Timestamp: 2019-11-13 23:13:50.892
[Speaker Local]: QUESTION: User 17: Question 141.; Timestamp: 2019-11-13 23:13:50.893
[Speaker Local]: QUESTION: User 17: Question 826.; Timestamp: 2019-11-13 23:13:50.894
[Speaker Local]: QUESTION: User 17: Question 636.; Timestamp: 2019-11-13 23:13:50.895
[Speaker Local]: QUESTION: User 17: Question 604.; Timestamp: 2019-11-13 23:13:50.895
[Speaker Local]: QUESTION: User 17: Question 134.; Timestamp: 2019-11-13 23:13:50.896
[Speaker Local]: QUESTION: User 17: Question 99.; Timestamp: 2019-11-13 23:13:50.897
[Speaker Local]: QUESTION: User 17: Question 222.; Timestamp: 2019-11-13 23:13:50.898
[Speaker Local]: QUESTION: User 17: Question 752.; Timestamp: 2019-11-13 23:13:50.898
[Speaker Local]: QUESTION: User 17: Question 554.; Timestamp: 2019-11-13 23:13:50.899
[Speaker Local]: QUESTION: User 17: Question 439.; Timestamp: 2019-11-13 23:13:50.9
[Speaker Local]: QUESTION: User 17: Question 896.; Timestamp: 2019-11-13 23:13:50.9
[Speaker Local]: QUESTION: User 17: Question 551.; Timestamp: 2019-11-13 23:13:50.901
[Speaker Local]: QUESTION: User 17: Question 60.; Timestamp: 2019-11-13 23:13:50.902
[Speaker Local]: QUESTION: User 17: Question 231.; Timestamp: 2019-11-13 23:13:50.903
[Speaker Local]: QUESTION: User 17: Question 631.; Timestamp: 2019-11-13 23:13:50.903
[Speaker Local]: QUESTION: User 17: Question 625.; Timestamp: 2019-11-13 23:13:50.905
[Speaker Local]: QUESTION: User 17: Question 584.; Timestamp: 2019-11-13 23:13:50.906
[Speaker Local]: QUESTION: User 17: Question 929.; Timestamp: 2019-11-13 23:13:50.908
[Speaker Local]: QUESTION: User 17: Question 574.; Timestamp: 2019-11-13 23:13:50.909
[Speaker Local]: QUESTION: User 17: Question 193.; Timestamp: 2019-11-13 23:13:50.91
[Speaker Local]: QUESTION: User 17: Question 875.; Timestamp: 2019-11-13 23:13:50.91
