Received speaker: uan://localhost:3030/id59 to register with server uan://localhost:3030/id1
Speaker started with uan: uan://localhost:3030/id59
[Speaker Local]: ANSWER: User 49: Answer 138.; Timestamp: 2019-11-13 23:15:45.586
[Speaker Local]: ANSWER: User 49: Answer 768.; Timestamp: 2019-11-13 23:15:48.182
[Speaker Local]: ANSWER: User 49: Answer 110.; Timestamp: 2019-11-13 23:15:48.184
[Speaker Local]: ANSWER: User 49: Answer 707.; Timestamp: 2019-11-13 23:15:48.185
[Speaker Local]: ANSWER: User 49: Answer 432.; Timestamp: 2019-11-13 23:15:48.187
[Speaker Local]: ANSWER: User 49: Answer 84.; Timestamp: 2019-11-13 23:15:48.188
[Speaker Local]: ANSWER: User 49: Answer 662.; Timestamp: 2019-11-13 23:15:48.189
[Speaker Local]: ANSWER: User 49: Answer 106.; Timestamp: 2019-11-13 23:15:48.19
[Speaker Local]: ANSWER: User 49: Answer 25.; Timestamp: 2019-11-13 23:15:48.196
[Speaker Local]: ANSWER: User 49: Answer 749.; Timestamp: 2019-11-13 23:15:48.2
[Speaker Local]: ANSWER: User 49: Answer 908.; Timestamp: 2019-11-13 23:15:48.21
[Speaker Local]: ANSWER: User 49: Answer 713.; Timestamp: 2019-11-13 23:15:48.214
[Speaker Local]: ANSWER: User 49: Answer 948.; Timestamp: 2019-11-13 23:15:53.549
[Speaker Local]: ANSWER: User 49: Answer 725.; Timestamp: 2019-11-13 23:15:53.551
[Speaker Local]: ANSWER: User 49: Answer 108.; Timestamp: 2019-11-13 23:15:53.552
[Speaker Local]: ANSWER: User 49: Answer 173.; Timestamp: 2019-11-13 23:15:53.554
[Speaker Local]: ANSWER: User 49: Answer 283.; Timestamp: 2019-11-13 23:15:53.557
[Speaker Local]: ANSWER: User 49: Answer 801.; Timestamp: 2019-11-13 23:15:53.559
[Speaker Local]: ANSWER: User 49: Answer 652.; Timestamp: 2019-11-13 23:15:53.561
[Speaker Local]: ANSWER: User 49: Answer 844.; Timestamp: 2019-11-13 23:15:53.565
[Speaker Local]: ANSWER: User 49: Answer 516.; Timestamp: 2019-11-13 23:15:53.569
[Speaker Local]: ANSWER: User 49: Answer 520.; Timestamp: 2019-11-13 23:15:53.571
[Speaker Local]: ANSWER: User 49: Answer 641.; Timestamp: 2019-11-13 23:15:53.572
[Speaker Local]: ANSWER: User 49: Answer 426.; Timestamp: 2019-11-13 23:15:53.575
[Speaker Local]: ANSWER: User 49: Answer 621.; Timestamp: 2019-11-13 23:15:53.579
[Speaker Local]: ANSWER: User 49: Answer 554.; Timestamp: 2019-11-13 23:15:53.583
[Speaker Local]: ANSWER: User 49: Answer 728.; Timestamp: 2019-11-13 23:15:53.584
[Speaker Local]: ANSWER: User 49: Answer 685.; Timestamp: 2019-11-13 23:15:53.588
[Speaker Local]: ANSWER: User 49: Answer 862.; Timestamp: 2019-11-13 23:15:53.589
[Speaker Local]: ANSWER: User 49: Answer 91.; Timestamp: 2019-11-13 23:15:53.59
[Speaker Local]: ANSWER: User 49: Answer 481.; Timestamp: 2019-11-13 23:15:53.591
[Speaker Local]: ANSWER: User 49: Answer 936.; Timestamp: 2019-11-13 23:15:53.592
[Speaker Local]: ANSWER: User 49: Answer 762.; Timestamp: 2019-11-13 23:15:53.593
[Speaker Local]: ANSWER: User 49: Answer 755.; Timestamp: 2019-11-13 23:15:53.594
[Speaker Local]: ANSWER: User 49: Answer 159.; Timestamp: 2019-11-13 23:16:06.39
[Speaker Local]: ANSWER: User 49: Answer 602.; Timestamp: 2019-11-13 23:16:06.392
[Speaker Local]: ANSWER: User 49: Answer 15.; Timestamp: 2019-11-13 23:16:06.734
[Speaker Local]: ANSWER: User 49: Answer 558.; Timestamp: 2019-11-13 23:16:07.269
[Speaker Local]: ANSWER: User 49: Answer 79.; Timestamp: 2019-11-13 23:16:07.376
[Speaker Local]: ANSWER: User 49: Answer 894.; Timestamp: 2019-11-13 23:16:07.667
[Speaker Local]: ANSWER: User 49: Answer 27.; Timestamp: 2019-11-13 23:16:07.668
[Speaker Local]: ANSWER: User 49: Answer 211.; Timestamp: 2019-11-13 23:16:07.94
[Speaker Local]: ANSWER: User 49: Answer 623.; Timestamp: 2019-11-13 23:16:07.964
[Speaker Local]: ANSWER: User 49: Answer 551.; Timestamp: 2019-11-13 23:16:07.993
[Speaker Local]: ANSWER: User 49: Answer 502.; Timestamp: 2019-11-13 23:16:07.994
[Speaker Local]: ANSWER: User 49: Answer 803.; Timestamp: 2019-11-13 23:16:08.36
[Speaker Local]: ANSWER: User 49: Answer 133.; Timestamp: 2019-11-13 23:16:08.361
[Speaker Local]: ANSWER: User 49: Answer 868.; Timestamp: 2019-11-13 23:16:08.787
[Speaker Local]: ANSWER: User 49: Answer 604.; Timestamp: 2019-11-13 23:16:08.788
[Speaker Local]: ANSWER: User 49: Answer 737.; Timestamp: 2019-11-13 23:16:09.116
[Speaker Local]: ANSWER: User 49: Answer 226.; Timestamp: 2019-11-13 23:16:09.116
[Speaker Local]: ANSWER: User 49: Answer 872.; Timestamp: 2019-11-13 23:16:09.704
[Speaker Local]: ANSWER: User 49: Answer 210.; Timestamp: 2019-11-13 23:16:11.663
[Speaker Local]: ANSWER: User 49: Answer 838.; Timestamp: 2019-11-13 23:16:11.664
[Speaker Local]: ANSWER: User 49: Answer 48.; Timestamp: 2019-11-13 23:16:11.664
[Speaker Local]: ANSWER: User 49: Answer 918.; Timestamp: 2019-11-13 23:16:11.664
[Speaker Local]: ANSWER: User 49: Answer 477.; Timestamp: 2019-11-13 23:16:11.665
[Speaker Local]: ANSWER: User 49: Answer 238.; Timestamp: 2019-11-13 23:16:11.665
[Speaker Local]: ANSWER: User 49: Answer 165.; Timestamp: 2019-11-13 23:16:11.665
[Speaker Local]: ANSWER: User 49: Answer 741.; Timestamp: 2019-11-13 23:16:11.666
[Speaker Local]: ANSWER: User 49: Answer 610.; Timestamp: 2019-11-13 23:16:11.666
[Speaker Local]: ANSWER: User 49: Answer 364.; Timestamp: 2019-11-13 23:16:11.667
[Speaker Local]: ANSWER: User 49: Answer 670.; Timestamp: 2019-11-13 23:16:11.667
[Speaker Local]: ANSWER: User 49: Answer 326.; Timestamp: 2019-11-13 23:16:11.668
[Speaker Local]: ANSWER: User 49: Answer 24.; Timestamp: 2019-11-13 23:16:11.668
[Speaker Local]: ANSWER: User 49: Answer 507.; Timestamp: 2019-11-13 23:16:11.669
[Speaker Local]: ANSWER: User 49: Answer 738.; Timestamp: 2019-11-13 23:16:11.669
[Speaker Local]: ANSWER: User 49: Answer 345.; Timestamp: 2019-11-13 23:16:11.669
[Speaker Local]: ANSWER: User 49: Answer 162.; Timestamp: 2019-11-13 23:16:11.67
[Speaker Local]: ANSWER: User 49: Answer 963.; Timestamp: 2019-11-13 23:16:11.67
[Speaker Local]: ANSWER: User 49: Answer 615.; Timestamp: 2019-11-13 23:16:11.671
[Speaker Local]: ANSWER: User 49: Answer 562.; Timestamp: 2019-11-13 23:16:11.671
[Speaker Local]: ANSWER: User 49: Answer 982.; Timestamp: 2019-11-13 23:16:11.672
[Speaker Local]: ANSWER: User 49: Answer 319.; Timestamp: 2019-11-13 23:16:11.672
[Speaker Local]: ANSWER: User 49: Answer 787.; Timestamp: 2019-11-13 23:16:11.673
[Speaker Local]: ANSWER: User 49: Answer 943.; Timestamp: 2019-11-13 23:16:11.674
[Speaker Local]: ANSWER: User 49: Answer 278.; Timestamp: 2019-11-13 23:16:11.675
[Speaker Local]: ANSWER: User 49: Answer 303.; Timestamp: 2019-11-13 23:16:11.676
[Speaker Local]: ANSWER: User 49: Answer 375.; Timestamp: 2019-11-13 23:16:11.677
[Speaker Local]: ANSWER: User 49: Answer 236.; Timestamp: 2019-11-13 23:16:11.677
[Speaker Local]: ANSWER: User 49: Answer 197.; Timestamp: 2019-11-13 23:16:11.678
[Speaker Local]: ANSWER: User 49: Answer 200.; Timestamp: 2019-11-13 23:16:11.679
[Speaker Local]: ANSWER: User 49: Answer 30.; Timestamp: 2019-11-13 23:16:11.679
[Speaker Local]: ANSWER: User 49: Answer 322.; Timestamp: 2019-11-13 23:16:11.68
[Speaker Local]: ANSWER: User 49: Answer 698.; Timestamp: 2019-11-13 23:16:11.68
[Speaker Local]: ANSWER: User 49: Answer 134.; Timestamp: 2019-11-13 23:16:11.681
[Speaker Local]: ANSWER: User 49: Answer 704.; Timestamp: 2019-11-13 23:16:11.681
[Speaker Local]: ANSWER: User 49: Answer 772.; Timestamp: 2019-11-13 23:16:11.682
[Speaker Local]: ANSWER: User 49: Answer 382.; Timestamp: 2019-11-13 23:16:11.682
[Speaker Local]: ANSWER: User 49: Answer 682.; Timestamp: 2019-11-13 23:16:11.683
[Speaker Local]: ANSWER: User 49: Answer 606.; Timestamp: 2019-11-13 23:16:11.683
[Speaker Local]: ANSWER: User 49: Answer 758.; Timestamp: 2019-11-13 23:16:11.684
[Speaker Local]: ANSWER: User 49: Answer 679.; Timestamp: 2019-11-13 23:16:11.684
[Speaker Local]: ANSWER: User 49: Answer 640.; Timestamp: 2019-11-13 23:16:11.685
[Speaker Local]: ANSWER: User 49: Answer 581.; Timestamp: 2019-11-13 23:16:11.685
[Speaker Local]: ANSWER: User 49: Answer 592.; Timestamp: 2019-11-13 23:16:11.686
[Speaker Local]: ANSWER: User 49: Answer 359.; Timestamp: 2019-11-13 23:16:11.686
[Speaker Local]: ANSWER: User 49: Answer 443.; Timestamp: 2019-11-13 23:16:11.687
[Speaker Local]: ANSWER: User 49: Answer 959.; Timestamp: 2019-11-13 23:16:11.687
[Speaker Local]: ANSWER: User 49: Answer 767.; Timestamp: 2019-11-13 23:16:11.687
[Speaker Local]: ANSWER: User 49: Answer 855.; Timestamp: 2019-11-13 23:16:11.688
[Speaker Local]: ANSWER: User 49: Answer 780.; Timestamp: 2019-11-13 23:16:11.688
[Speaker Local]: ANSWER: User 49: Answer 901.; Timestamp: 2019-11-13 23:16:11.69
[Speaker Local]: ANSWER: User 49: Answer 472.; Timestamp: 2019-11-13 23:16:11.691
[Speaker Local]: ANSWER: User 49: Answer 505.; Timestamp: 2019-11-13 23:16:11.693
[Speaker Local]: ANSWER: User 49: Answer 362.; Timestamp: 2019-11-13 23:16:11.694
[Speaker Local]: ANSWER: User 49: Answer 636.; Timestamp: 2019-11-13 23:16:11.697
[Speaker Local]: ANSWER: User 49: Answer 401.; Timestamp: 2019-11-13 23:16:11.698
[Speaker Local]: ANSWER: User 49: Answer 721.; Timestamp: 2019-11-13 23:16:11.698
[Speaker Local]: ANSWER: User 49: Answer 916.; Timestamp: 2019-11-13 23:16:11.699
[Speaker Local]: ANSWER: User 49: Answer 949.; Timestamp: 2019-11-13 23:16:12.173
[Speaker Local]: ANSWER: User 49: Answer 203.; Timestamp: 2019-11-13 23:16:12.174
[Speaker Local]: ANSWER: User 49: Answer 386.; Timestamp: 2019-11-13 23:16:12.174
[Speaker Local]: ANSWER: User 49: Answer 676.; Timestamp: 2019-11-13 23:16:12.175
[Speaker Local]: ANSWER: User 49: Answer 974.; Timestamp: 2019-11-13 23:16:12.176
[Speaker Local]: ANSWER: User 49: Answer 36.; Timestamp: 2019-11-13 23:16:12.177
[Speaker Local]: ANSWER: User 49: Answer 909.; Timestamp: 2019-11-13 23:16:12.177
[Speaker Local]: ANSWER: User 49: Answer 235.; Timestamp: 2019-11-13 23:16:12.177
[Speaker Local]: ANSWER: User 49: Answer 346.; Timestamp: 2019-11-13 23:16:12.178
[Speaker Local]: ANSWER: User 49: Answer 434.; Timestamp: 2019-11-13 23:16:12.179
[Speaker Local]: ANSWER: User 49: Answer 935.; Timestamp: 2019-11-13 23:16:12.18
[Speaker Local]: ANSWER: User 49: Answer 6.; Timestamp: 2019-11-13 23:16:12.181
[Speaker Local]: ANSWER: User 49: Answer 298.; Timestamp: 2019-11-13 23:16:12.181
[Speaker Local]: ANSWER: User 49: Answer 172.; Timestamp: 2019-11-13 23:16:12.182
[Speaker Local]: ANSWER: User 49: Answer 746.; Timestamp: 2019-11-13 23:16:12.183
[Speaker Local]: ANSWER: User 49: Answer 805.; Timestamp: 2019-11-13 23:16:12.184
[Speaker Local]: ANSWER: User 49: Answer 783.; Timestamp: 2019-11-13 23:16:12.185
[Speaker Local]: ANSWER: User 49: Answer 32.; Timestamp: 2019-11-13 23:16:12.185
[Speaker Local]: ANSWER: User 49: Answer 638.; Timestamp: 2019-11-13 23:16:12.186
[Speaker Local]: ANSWER: User 49: Answer 589.; Timestamp: 2019-11-13 23:16:12.187
[Speaker Local]: ANSWER: User 49: Answer 243.; Timestamp: 2019-11-13 23:16:12.187
[Speaker Local]: ANSWER: User 49: Answer 951.; Timestamp: 2019-11-13 23:16:12.188
[Speaker Local]: ANSWER: User 49: Answer 301.; Timestamp: 2019-11-13 23:16:12.189
[Speaker Local]: ANSWER: User 49: Answer 459.; Timestamp: 2019-11-13 23:16:12.189
[Speaker Local]: ANSWER: User 49: Answer 764.; Timestamp: 2019-11-13 23:16:12.19
[Speaker Local]: ANSWER: User 49: Answer 563.; Timestamp: 2019-11-13 23:16:12.19
[Speaker Local]: ANSWER: User 49: Answer 475.; Timestamp: 2019-11-13 23:16:12.191
[Speaker Local]: ANSWER: User 49: Answer 674.; Timestamp: 2019-11-13 23:16:12.191
[Speaker Local]: ANSWER: User 49: Answer 251.; Timestamp: 2019-11-13 23:16:12.193
[Speaker Local]: ANSWER: User 49: Answer 150.; Timestamp: 2019-11-13 23:16:12.193
[Speaker Local]: ANSWER: User 49: Answer 218.; Timestamp: 2019-11-13 23:16:12.194
[Speaker Local]: ANSWER: User 49: Answer 415.; Timestamp: 2019-11-13 23:16:12.194
[Speaker Local]: ANSWER: User 49: Answer 651.; Timestamp: 2019-11-13 23:16:12.195
[Speaker Local]: ANSWER: User 49: Answer 985.; Timestamp: 2019-11-13 23:16:12.196
[Speaker Local]: ANSWER: User 49: Answer 556.; Timestamp: 2019-11-13 23:16:12.196
[Speaker Local]: ANSWER: User 49: Answer 882.; Timestamp: 2019-11-13 23:16:12.197
[Speaker Local]: ANSWER: User 49: Answer 428.; Timestamp: 2019-11-13 23:16:12.197
[Speaker Local]: ANSWER: User 49: Answer 474.; Timestamp: 2019-11-13 23:16:12.198
[Speaker Local]: ANSWER: User 49: Answer 454.; Timestamp: 2019-11-13 23:16:12.198
[Speaker Local]: ANSWER: User 49: Answer 769.; Timestamp: 2019-11-13 23:16:12.199
[Speaker Local]: ANSWER: User 49: Answer 632.; Timestamp: 2019-11-13 23:16:12.2
[Speaker Local]: ANSWER: User 49: Answer 247.; Timestamp: 2019-11-13 23:16:12.2
[Speaker Local]: ANSWER: User 49: Answer 890.; Timestamp: 2019-11-13 23:16:12.201
[Speaker Local]: ANSWER: User 49: Answer 966.; Timestamp: 2019-11-13 23:16:12.201
[Speaker Local]: ANSWER: User 49: Answer 750.; Timestamp: 2019-11-13 23:16:12.202
[Speaker Local]: ANSWER: User 49: Answer 393.; Timestamp: 2019-11-13 23:16:12.202
[Speaker Local]: ANSWER: User 49: Answer 261.; Timestamp: 2019-11-13 23:16:12.203
[Speaker Local]: ANSWER: User 49: Answer 183.; Timestamp: 2019-11-13 23:16:12.203
[Speaker Local]: ANSWER: User 49: Answer 76.; Timestamp: 2019-11-13 23:16:12.203
[Speaker Local]: ANSWER: User 49: Answer 566.; Timestamp: 2019-11-13 23:16:12.204
[Speaker Local]: ANSWER: User 49: Answer 593.; Timestamp: 2019-11-13 23:16:12.204
[Speaker Local]: ANSWER: User 49: Answer 955.; Timestamp: 2019-11-13 23:16:12.205
[Speaker Local]: ANSWER: User 49: Answer 372.; Timestamp: 2019-11-13 23:16:12.206
[Speaker Local]: ANSWER: User 49: Answer 311.; Timestamp: 2019-11-13 23:16:12.207
[Speaker Local]: ANSWER: User 49: Answer 677.; Timestamp: 2019-11-13 23:16:15.975
[Speaker Local]: ANSWER: User 49: Answer 280.; Timestamp: 2019-11-13 23:16:15.978
[Speaker Local]: ANSWER: User 49: Answer 777.; Timestamp: 2019-11-13 23:16:15.978
[Speaker Local]: ANSWER: User 49: Answer 518.; Timestamp: 2019-11-13 23:16:15.979
[Speaker Local]: ANSWER: User 49: Answer 125.; Timestamp: 2019-11-13 23:16:15.98
[Speaker Local]: ANSWER: User 49: Answer 884.; Timestamp: 2019-11-13 23:16:15.98
[Speaker Local]: ANSWER: User 49: Answer 635.; Timestamp: 2019-11-13 23:16:15.981
[Speaker Local]: ANSWER: User 49: Answer 63.; Timestamp: 2019-11-13 23:16:15.981
[Speaker Local]: ANSWER: User 49: Answer 831.; Timestamp: 2019-11-13 23:16:15.982
[Speaker Local]: ANSWER: User 49: Answer 740.; Timestamp: 2019-11-13 23:16:15.982
[Speaker Local]: ANSWER: User 49: Answer 501.; Timestamp: 2019-11-13 23:16:15.982
[Speaker Local]: ANSWER: User 49: Answer 561.; Timestamp: 2019-11-13 23:16:15.983
[Speaker Local]: ANSWER: User 49: Answer 853.; Timestamp: 2019-11-13 23:16:15.983
[Speaker Local]: ANSWER: User 49: Answer 747.; Timestamp: 2019-11-13 23:16:15.983
[Speaker Local]: ANSWER: User 49: Answer 116.; Timestamp: 2019-11-13 23:16:15.984
[Speaker Local]: ANSWER: User 49: Answer 271.; Timestamp: 2019-11-13 23:16:15.984
[Speaker Local]: ANSWER: User 49: Answer 998.; Timestamp: 2019-11-13 23:16:15.985
[Speaker Local]: ANSWER: User 49: Answer 329.; Timestamp: 2019-11-13 23:16:15.985
[Speaker Local]: ANSWER: User 49: Answer 973.; Timestamp: 2019-11-13 23:16:15.985
[Speaker Local]: ANSWER: User 49: Answer 51.; Timestamp: 2019-11-13 23:16:15.986
[Speaker Local]: ANSWER: User 49: Answer 526.; Timestamp: 2019-11-13 23:16:15.986
[Speaker Local]: ANSWER: User 49: Answer 371.; Timestamp: 2019-11-13 23:16:15.987
[Speaker Local]: ANSWER: User 49: Answer 413.; Timestamp: 2019-11-13 23:16:15.987
[Speaker Local]: ANSWER: User 49: Answer 424.; Timestamp: 2019-11-13 23:16:15.988
[Speaker Local]: ANSWER: User 49: Answer 429.; Timestamp: 2019-11-13 23:16:15.988
[Speaker Local]: ANSWER: User 49: Answer 367.; Timestamp: 2019-11-13 23:16:15.988
[Speaker Local]: ANSWER: User 49: Answer 945.; Timestamp: 2019-11-13 23:16:15.989
[Speaker Local]: ANSWER: User 49: Answer 947.; Timestamp: 2019-11-13 23:16:15.989
[Speaker Local]: ANSWER: User 49: Answer 279.; Timestamp: 2019-11-13 23:16:15.989
[Speaker Local]: ANSWER: User 49: Answer 625.; Timestamp: 2019-11-13 23:16:15.99
[Speaker Local]: ANSWER: User 49: Answer 997.; Timestamp: 2019-11-13 23:16:15.99
[Speaker Local]: ANSWER: User 49: Answer 47.; Timestamp: 2019-11-13 23:16:15.991
[Speaker Local]: ANSWER: User 49: Answer 360.; Timestamp: 2019-11-13 23:16:15.992
[Speaker Local]: ANSWER: User 49: Answer 54.; Timestamp: 2019-11-13 23:16:15.992
[Speaker Local]: ANSWER: User 49: Answer 107.; Timestamp: 2019-11-13 23:16:15.993
[Speaker Local]: ANSWER: User 49: Answer 906.; Timestamp: 2019-11-13 23:16:15.993
[Speaker Local]: ANSWER: User 49: Answer 431.; Timestamp: 2019-11-13 23:16:15.994
