Received speaker: uan://localhost:3030/id29 to register with server uan://localhost:3030/id1
Speaker started with uan: uan://localhost:3030/id29
[Speaker Local]: QUESTION: User 19: Question 59.; Timestamp: 2019-11-13 23:13:43.507
[Speaker Local]: QUESTION: User 19: Question 424.; Timestamp: 2019-11-13 23:13:46.117
[Speaker Local]: QUESTION: User 19: Question 869.; Timestamp: 2019-11-13 23:13:46.119
[Speaker Local]: QUESTION: User 19: Question 343.; Timestamp: 2019-11-13 23:13:46.119
[Speaker Local]: QUESTION: User 19: Question 71.; Timestamp: 2019-11-13 23:13:46.12
[Speaker Local]: QUESTION: User 19: Question 759.; Timestamp: 2019-11-13 23:13:46.121
[Speaker Local]: QUESTION: User 19: Question 547.; Timestamp: 2019-11-13 23:13:46.122
[Speaker Local]: QUESTION: User 19: Question 554.; Timestamp: 2019-11-13 23:13:46.123
[Speaker Local]: QUESTION: User 19: Question 65.; Timestamp: 2019-11-13 23:13:46.124
[Speaker Local]: QUESTION: User 19: Question 125.; Timestamp: 2019-11-13 23:13:46.125
[Speaker Local]: QUESTION: User 19: Question 373.; Timestamp: 2019-11-13 23:13:46.126
[Speaker Local]: QUESTION: User 19: Question 939.; Timestamp: 2019-11-13 23:13:46.127
[Speaker Local]: QUESTION: User 19: Question 1000.; Timestamp: 2019-11-13 23:13:46.128
[Speaker Local]: QUESTION: User 19: Question 26.; Timestamp: 2019-11-13 23:13:46.128
[Speaker Local]: QUESTION: User 19: Question 493.; Timestamp: 2019-11-13 23:13:46.129
[Speaker Local]: QUESTION: User 19: Question 420.; Timestamp: 2019-11-13 23:13:46.132
[Speaker Local]: QUESTION: User 19: Question 564.; Timestamp: 2019-11-13 23:13:46.133
[Speaker Local]: QUESTION: User 19: Question 847.; Timestamp: 2019-11-13 23:13:46.134
[Speaker Local]: QUESTION: User 19: Question 837.; Timestamp: 2019-11-13 23:13:46.135
[Speaker Local]: QUESTION: User 19: Question 635.; Timestamp: 2019-11-13 23:13:46.136
[Speaker Local]: QUESTION: User 19: Question 138.; Timestamp: 2019-11-13 23:13:46.138
[Speaker Local]: QUESTION: User 19: Question 655.; Timestamp: 2019-11-13 23:13:46.139
[Speaker Local]: QUESTION: User 19: Question 744.; Timestamp: 2019-11-13 23:13:46.14
[Speaker Local]: QUESTION: User 19: Question 52.; Timestamp: 2019-11-13 23:13:46.141
[Speaker Local]: QUESTION: User 19: Question 407.; Timestamp: 2019-11-13 23:13:46.142
[Speaker Local]: QUESTION: User 19: Question 54.; Timestamp: 2019-11-13 23:13:46.143
[Speaker Local]: QUESTION: User 19: Question 394.; Timestamp: 2019-11-13 23:13:46.144
[Speaker Local]: QUESTION: User 19: Question 190.; Timestamp: 2019-11-13 23:13:46.145
[Speaker Local]: QUESTION: User 19: Question 445.; Timestamp: 2019-11-13 23:13:46.146
[Speaker Local]: QUESTION: User 19: Question 87.; Timestamp: 2019-11-13 23:13:46.147
[Speaker Local]: QUESTION: User 19: Question 761.; Timestamp: 2019-11-13 23:13:46.148
[Speaker Local]: QUESTION: User 19: Question 662.; Timestamp: 2019-11-13 23:13:46.149
[Speaker Local]: QUESTION: User 19: Question 780.; Timestamp: 2019-11-13 23:13:46.24
[Speaker Local]: QUESTION: User 19: Question 231.; Timestamp: 2019-11-13 23:13:52.136
[Speaker Local]: QUESTION: User 19: Question 293.; Timestamp: 2019-11-13 23:13:52.137
[Speaker Local]: QUESTION: User 19: Question 23.; Timestamp: 2019-11-13 23:13:52.138
[Speaker Local]: QUESTION: User 19: Question 596.; Timestamp: 2019-11-13 23:13:52.139
[Speaker Local]: QUESTION: User 19: Question 953.; Timestamp: 2019-11-13 23:13:52.139
[Speaker Local]: QUESTION: User 19: Question 475.; Timestamp: 2019-11-13 23:13:52.14
[Speaker Local]: QUESTION: User 19: Question 697.; Timestamp: 2019-11-13 23:13:52.141
[Speaker Local]: QUESTION: User 19: Question 155.; Timestamp: 2019-11-13 23:13:52.142
[Speaker Local]: QUESTION: User 19: Question 397.; Timestamp: 2019-11-13 23:13:52.142
[Speaker Local]: QUESTION: User 19: Question 521.; Timestamp: 2019-11-13 23:13:52.143
[Speaker Local]: QUESTION: User 19: Question 747.; Timestamp: 2019-11-13 23:13:52.144
[Speaker Local]: QUESTION: User 19: Question 846.; Timestamp: 2019-11-13 23:13:52.144
[Speaker Local]: QUESTION: User 19: Question 430.; Timestamp: 2019-11-13 23:13:52.145
[Speaker Local]: QUESTION: User 19: Question 791.; Timestamp: 2019-11-13 23:13:52.146
[Speaker Local]: QUESTION: User 19: Question 924.; Timestamp: 2019-11-13 23:13:52.147
[Speaker Local]: QUESTION: User 19: Question 755.; Timestamp: 2019-11-13 23:13:52.148
[Speaker Local]: QUESTION: User 19: Question 78.; Timestamp: 2019-11-13 23:13:52.149
[Speaker Local]: QUESTION: User 19: Question 123.; Timestamp: 2019-11-13 23:13:52.149
[Speaker Local]: QUESTION: User 19: Question 808.; Timestamp: 2019-11-13 23:13:52.15
[Speaker Local]: QUESTION: User 19: Question 699.; Timestamp: 2019-11-13 23:13:52.151
[Speaker Local]: QUESTION: User 19: Question 690.; Timestamp: 2019-11-13 23:13:52.151
[Speaker Local]: QUESTION: User 19: Question 587.; Timestamp: 2019-11-13 23:13:52.152
[Speaker Local]: QUESTION: User 19: Question 135.; Timestamp: 2019-11-13 23:13:52.153
[Speaker Local]: QUESTION: User 19: Question 647.; Timestamp: 2019-11-13 23:13:52.153
[Speaker Local]: QUESTION: User 19: Question 16.; Timestamp: 2019-11-13 23:13:52.154
[Speaker Local]: QUESTION: User 19: Question 643.; Timestamp: 2019-11-13 23:13:52.155
[Speaker Local]: QUESTION: User 19: Question 910.; Timestamp: 2019-11-13 23:13:52.156
[Speaker Local]: QUESTION: User 19: Question 682.; Timestamp: 2019-11-13 23:13:52.156
[Speaker Local]: QUESTION: User 19: Question 251.; Timestamp: 2019-11-13 23:13:52.157
[Speaker Local]: QUESTION: User 19: Question 146.; Timestamp: 2019-11-13 23:13:52.157
[Speaker Local]: QUESTION: User 19: Question 148.; Timestamp: 2019-11-13 23:13:52.158
[Speaker Local]: QUESTION: User 19: Question 173.; Timestamp: 2019-11-13 23:13:52.159
[Speaker Local]: QUESTION: User 19: Question 738.; Timestamp: 2019-11-13 23:13:52.159
[Speaker Local]: QUESTION: User 19: Question 572.; Timestamp: 2019-11-13 23:13:52.16
[Speaker Local]: QUESTION: User 19: Question 909.; Timestamp: 2019-11-13 23:13:52.161
[Speaker Local]: QUESTION: User 19: Question 839.; Timestamp: 2019-11-13 23:13:52.161
[Speaker Local]: QUESTION: User 19: Question 533.; Timestamp: 2019-11-13 23:13:52.164
[Speaker Local]: QUESTION: User 19: Question 322.; Timestamp: 2019-11-13 23:13:52.165
[Speaker Local]: QUESTION: User 19: Question 782.; Timestamp: 2019-11-13 23:13:52.166
[Speaker Local]: QUESTION: User 19: Question 942.; Timestamp: 2019-11-13 23:13:52.166
[Speaker Local]: QUESTION: User 19: Question 416.; Timestamp: 2019-11-13 23:13:52.167
[Speaker Local]: QUESTION: User 19: Question 222.; Timestamp: 2019-11-13 23:13:52.168
[Speaker Local]: QUESTION: User 19: Question 680.; Timestamp: 2019-11-13 23:13:52.168
[Speaker Local]: QUESTION: User 19: Question 883.; Timestamp: 2019-11-13 23:13:52.169
[Speaker Local]: QUESTION: User 19: Question 737.; Timestamp: 2019-11-13 23:13:52.17
[Speaker Local]: QUESTION: User 19: Question 177.; Timestamp: 2019-11-13 23:14:02.543
[Speaker Local]: QUESTION: User 19: Question 290.; Timestamp: 2019-11-13 23:14:02.544
[Speaker Local]: QUESTION: User 19: Question 20.; Timestamp: 2019-11-13 23:14:02.545
[Speaker Local]: QUESTION: User 19: Question 264.; Timestamp: 2019-11-13 23:14:02.546
[Speaker Local]: QUESTION: User 19: Question 332.; Timestamp: 2019-11-13 23:14:02.546
[Speaker Local]: QUESTION: User 19: Question 542.; Timestamp: 2019-11-13 23:14:02.548
[Speaker Local]: QUESTION: User 19: Question 279.; Timestamp: 2019-11-13 23:14:02.549
[Speaker Local]: QUESTION: User 19: Question 602.; Timestamp: 2019-11-13 23:14:02.55
[Speaker Local]: QUESTION: User 19: Question 870.; Timestamp: 2019-11-13 23:14:02.551
[Speaker Local]: QUESTION: User 19: Question 998.; Timestamp: 2019-11-13 23:14:02.552
[Speaker Local]: QUESTION: User 19: Question 508.; Timestamp: 2019-11-13 23:14:02.552
[Speaker Local]: QUESTION: User 19: Question 952.; Timestamp: 2019-11-13 23:14:02.553
[Speaker Local]: QUESTION: User 19: Question 945.; Timestamp: 2019-11-13 23:14:02.553
[Speaker Local]: QUESTION: User 19: Question 419.; Timestamp: 2019-11-13 23:14:02.554
[Speaker Local]: QUESTION: User 19: Question 255.; Timestamp: 2019-11-13 23:14:02.555
[Speaker Local]: QUESTION: User 19: Question 273.; Timestamp: 2019-11-13 23:14:02.555
[Speaker Local]: QUESTION: User 19: Question 736.; Timestamp: 2019-11-13 23:14:02.564
[Speaker Local]: QUESTION: User 19: Question 259.; Timestamp: 2019-11-13 23:14:02.565
[Speaker Local]: QUESTION: User 19: Question 257.; Timestamp: 2019-11-13 23:14:02.566
[Speaker Local]: QUESTION: User 19: Question 5.; Timestamp: 2019-11-13 23:14:02.566
[Speaker Local]: QUESTION: User 19: Question 240.; Timestamp: 2019-11-13 23:14:02.567
[Speaker Local]: QUESTION: User 19: Question 683.; Timestamp: 2019-11-13 23:14:02.568
[Speaker Local]: QUESTION: User 19: Question 352.; Timestamp: 2019-11-13 23:14:02.568
[Speaker Local]: QUESTION: User 19: Question 642.; Timestamp: 2019-11-13 23:14:02.569
[Speaker Local]: QUESTION: User 19: Question 726.; Timestamp: 2019-11-13 23:14:02.569
[Speaker Local]: QUESTION: User 19: Question 864.; Timestamp: 2019-11-13 23:14:02.57
[Speaker Local]: QUESTION: User 19: Question 994.; Timestamp: 2019-11-13 23:14:02.571
[Speaker Local]: QUESTION: User 19: Question 143.; Timestamp: 2019-11-13 23:14:02.572
[Speaker Local]: QUESTION: User 19: Question 899.; Timestamp: 2019-11-13 23:14:07.813
[Speaker Local]: QUESTION: User 19: Question 934.; Timestamp: 2019-11-13 23:14:09.299
[Speaker Local]: QUESTION: User 19: Question 733.; Timestamp: 2019-11-13 23:14:09.3
[Speaker Local]: QUESTION: User 19: Question 739.; Timestamp: 2019-11-13 23:14:09.301
[Speaker Local]: QUESTION: User 19: Question 653.; Timestamp: 2019-11-13 23:14:09.301
[Speaker Local]: QUESTION: User 19: Question 105.; Timestamp: 2019-11-13 23:14:09.301
[Speaker Local]: QUESTION: User 19: Question 984.; Timestamp: 2019-11-13 23:14:09.302
[Speaker Local]: QUESTION: User 19: Question 580.; Timestamp: 2019-11-13 23:14:09.302
[Speaker Local]: QUESTION: User 19: Question 752.; Timestamp: 2019-11-13 23:14:09.303
[Speaker Local]: QUESTION: User 19: Question 128.; Timestamp: 2019-11-13 23:14:09.303
[Speaker Local]: QUESTION: User 19: Question 29.; Timestamp: 2019-11-13 23:14:09.303
[Speaker Local]: QUESTION: User 19: Question 303.; Timestamp: 2019-11-13 23:14:09.304
[Speaker Local]: QUESTION: User 19: Question 63.; Timestamp: 2019-11-13 23:14:09.304
[Speaker Local]: QUESTION: User 19: Question 348.; Timestamp: 2019-11-13 23:14:09.304
[Speaker Local]: QUESTION: User 19: Question 769.; Timestamp: 2019-11-13 23:14:09.305
[Speaker Local]: QUESTION: User 19: Question 312.; Timestamp: 2019-11-13 23:14:09.305
[Speaker Local]: QUESTION: User 19: Question 307.; Timestamp: 2019-11-13 23:14:09.305
[Speaker Local]: QUESTION: User 19: Question 386.; Timestamp: 2019-11-13 23:14:09.306
[Speaker Local]: QUESTION: User 19: Question 992.; Timestamp: 2019-11-13 23:14:09.306
[Speaker Local]: QUESTION: User 19: Question 516.; Timestamp: 2019-11-13 23:14:09.306
[Speaker Local]: QUESTION: User 19: Question 639.; Timestamp: 2019-11-13 23:14:09.307
[Speaker Local]: QUESTION: User 19: Question 955.; Timestamp: 2019-11-13 23:14:09.307
[Speaker Local]: QUESTION: User 19: Question 12.; Timestamp: 2019-11-13 23:14:09.307
[Speaker Local]: QUESTION: User 19: Question 606.; Timestamp: 2019-11-13 23:14:09.308
[Speaker Local]: QUESTION: User 19: Question 563.; Timestamp: 2019-11-13 23:14:09.308
[Speaker Local]: QUESTION: User 19: Question 66.; Timestamp: 2019-11-13 23:14:09.309
[Speaker Local]: QUESTION: User 19: Question 938.; Timestamp: 2019-11-13 23:14:09.31
[Speaker Local]: QUESTION: User 19: Question 58.; Timestamp: 2019-11-13 23:14:09.31
[Speaker Local]: QUESTION: User 19: Question 706.; Timestamp: 2019-11-13 23:14:09.312
[Speaker Local]: QUESTION: User 19: Question 772.; Timestamp: 2019-11-13 23:14:09.313
[Speaker Local]: QUESTION: User 19: Question 428.; Timestamp: 2019-11-13 23:14:09.314
[Speaker Local]: QUESTION: User 19: Question 370.; Timestamp: 2019-11-13 23:14:09.315
[Speaker Local]: QUESTION: User 19: Question 676.; Timestamp: 2019-11-13 23:14:09.316
[Speaker Local]: QUESTION: User 19: Question 150.; Timestamp: 2019-11-13 23:14:09.317
[Speaker Local]: QUESTION: User 19: Question 716.; Timestamp: 2019-11-13 23:14:09.317
[Speaker Local]: QUESTION: User 19: Question 160.; Timestamp: 2019-11-13 23:14:09.318
[Speaker Local]: QUESTION: User 19: Question 172.; Timestamp: 2019-11-13 23:14:09.318
[Speaker Local]: QUESTION: User 19: Question 393.; Timestamp: 2019-11-13 23:14:09.319
[Speaker Local]: QUESTION: User 19: Question 538.; Timestamp: 2019-11-13 23:14:09.319
[Speaker Local]: QUESTION: User 19: Question 758.; Timestamp: 2019-11-13 23:14:09.319
[Speaker Local]: QUESTION: User 19: Question 978.; Timestamp: 2019-11-13 23:14:09.32
[Speaker Local]: QUESTION: User 19: Question 871.; Timestamp: 2019-11-13 23:14:09.32
[Speaker Local]: QUESTION: User 19: Question 90.; Timestamp: 2019-11-13 23:14:09.321
[Speaker Local]: QUESTION: User 19: Question 285.; Timestamp: 2019-11-13 23:14:09.321
[Speaker Local]: QUESTION: User 19: Question 640.; Timestamp: 2019-11-13 23:14:09.321
[Speaker Local]: QUESTION: User 19: Question 368.; Timestamp: 2019-11-13 23:14:09.321
[Speaker Local]: QUESTION: User 19: Question 38.; Timestamp: 2019-11-13 23:14:09.322
[Speaker Local]: QUESTION: User 19: Question 372.; Timestamp: 2019-11-13 23:14:09.322
[Speaker Local]: QUESTION: User 19: Question 449.; Timestamp: 2019-11-13 23:14:09.322
[Speaker Local]: QUESTION: User 19: Question 243.; Timestamp: 2019-11-13 23:14:09.322
[Speaker Local]: QUESTION: User 19: Question 881.; Timestamp: 2019-11-13 23:14:09.323
[Speaker Local]: QUESTION: User 19: Question 268.; Timestamp: 2019-11-13 23:14:09.323
[Speaker Local]: QUESTION: User 19: Question 80.; Timestamp: 2019-11-13 23:14:09.323
[Speaker Local]: QUESTION: User 19: Question 72.; Timestamp: 2019-11-13 23:14:09.323
[Speaker Local]: QUESTION: User 19: Question 856.; Timestamp: 2019-11-13 23:14:09.324
[Speaker Local]: QUESTION: User 19: Question 532.; Timestamp: 2019-11-13 23:14:09.324
[Speaker Local]: QUESTION: User 19: Question 265.; Timestamp: 2019-11-13 23:14:09.324
[Speaker Local]: QUESTION: User 19: Question 490.; Timestamp: 2019-11-13 23:14:09.325
[Speaker Local]: QUESTION: User 19: Question 827.; Timestamp: 2019-11-13 23:14:09.325
[Speaker Local]: QUESTION: User 19: Question 203.; Timestamp: 2019-11-13 23:14:09.325
[Speaker Local]: QUESTION: User 19: Question 979.; Timestamp: 2019-11-13 23:14:09.326
