Received speaker: uan://localhost:3030/id14 to register with server uan://localhost:3030/id1
Speaker started with uan: uan://localhost:3030/id14
[Speaker Local]: QUESTION: User 4: Question 163.; Timestamp: 2019-11-13 23:13:41.01
[Speaker Local]: QUESTION: User 4: Question 958.; Timestamp: 2019-11-13 23:13:45.547
[Speaker Local]: QUESTION: User 4: Question 345.; Timestamp: 2019-11-13 23:13:45.55
[Speaker Local]: QUESTION: User 4: Question 352.; Timestamp: 2019-11-13 23:13:45.552
[Speaker Local]: QUESTION: User 4: Question 131.; Timestamp: 2019-11-13 23:13:45.554
[Speaker Local]: QUESTION: User 4: Question 45.; Timestamp: 2019-11-13 23:13:45.556
[Speaker Local]: QUESTION: User 4: Question 263.; Timestamp: 2019-11-13 23:13:45.559
[Speaker Local]: QUESTION: User 4: Question 419.; Timestamp: 2019-11-13 23:13:45.56
[Speaker Local]: QUESTION: User 4: Question 875.; Timestamp: 2019-11-13 23:13:45.56
[Speaker Local]: QUESTION: User 4: Question 884.; Timestamp: 2019-11-13 23:13:45.561
[Speaker Local]: QUESTION: User 4: Question 769.; Timestamp: 2019-11-13 23:13:45.562
[Speaker Local]: QUESTION: User 4: Question 755.; Timestamp: 2019-11-13 23:13:45.562
[Speaker Local]: QUESTION: User 4: Question 437.; Timestamp: 2019-11-13 23:13:45.563
[Speaker Local]: QUESTION: User 4: Question 923.; Timestamp: 2019-11-13 23:13:45.564
[Speaker Local]: QUESTION: User 4: Question 533.; Timestamp: 2019-11-13 23:13:45.564
[Speaker Local]: QUESTION: User 4: Question 114.; Timestamp: 2019-11-13 23:13:45.566
[Speaker Local]: QUESTION: User 4: Question 329.; Timestamp: 2019-11-13 23:13:45.567
[Speaker Local]: QUESTION: User 4: Question 268.; Timestamp: 2019-11-13 23:13:45.568
[Speaker Local]: QUESTION: User 4: Question 152.; Timestamp: 2019-11-13 23:13:45.568
[Speaker Local]: QUESTION: User 4: Question 85.; Timestamp: 2019-11-13 23:13:45.569
[Speaker Local]: QUESTION: User 4: Question 980.; Timestamp: 2019-11-13 23:13:45.57
[Speaker Local]: QUESTION: User 4: Question 993.; Timestamp: 2019-11-13 23:13:45.571
[Speaker Local]: QUESTION: User 4: Question 758.; Timestamp: 2019-11-13 23:13:45.572
[Speaker Local]: QUESTION: User 4: Question 776.; Timestamp: 2019-11-13 23:13:45.572
[Speaker Local]: QUESTION: User 4: Question 563.; Timestamp: 2019-11-13 23:13:45.573
[Speaker Local]: QUESTION: User 4: Question 438.; Timestamp: 2019-11-13 23:13:45.574
[Speaker Local]: QUESTION: User 4: Question 782.; Timestamp: 2019-11-13 23:13:45.575
[Speaker Local]: QUESTION: User 4: Question 470.; Timestamp: 2019-11-13 23:13:45.576
[Speaker Local]: QUESTION: User 4: Question 732.; Timestamp: 2019-11-13 23:13:45.577
[Speaker Local]: QUESTION: User 4: Question 232.; Timestamp: 2019-11-13 23:13:45.578
[Speaker Local]: QUESTION: User 4: Question 379.; Timestamp: 2019-11-13 23:13:45.579
[Speaker Local]: QUESTION: User 4: Question 56.; Timestamp: 2019-11-13 23:13:45.58
[Speaker Local]: QUESTION: User 4: Question 40.; Timestamp: 2019-11-13 23:13:45.582
[Speaker Local]: QUESTION: User 4: Question 587.; Timestamp: 2019-11-13 23:13:45.583
[Speaker Local]: QUESTION: User 4: Question 833.; Timestamp: 2019-11-13 23:14:01.426
[Speaker Local]: QUESTION: User 4: Question 103.; Timestamp: 2019-11-13 23:14:01.428
[Speaker Local]: QUESTION: User 4: Question 672.; Timestamp: 2019-11-13 23:14:01.429
[Speaker Local]: QUESTION: User 4: Question 537.; Timestamp: 2019-11-13 23:14:01.43
[Speaker Local]: QUESTION: User 4: Question 312.; Timestamp: 2019-11-13 23:14:01.431
[Speaker Local]: QUESTION: User 4: Question 157.; Timestamp: 2019-11-13 23:14:01.431
[Speaker Local]: QUESTION: User 4: Question 788.; Timestamp: 2019-11-13 23:14:01.432
[Speaker Local]: QUESTION: User 4: Question 371.; Timestamp: 2019-11-13 23:14:01.433
[Speaker Local]: QUESTION: User 4: Question 648.; Timestamp: 2019-11-13 23:14:01.433
[Speaker Local]: QUESTION: User 4: Question 797.; Timestamp: 2019-11-13 23:14:01.434
[Speaker Local]: QUESTION: User 4: Question 330.; Timestamp: 2019-11-13 23:14:01.434
[Speaker Local]: QUESTION: User 4: Question 868.; Timestamp: 2019-11-13 23:14:01.435
[Speaker Local]: QUESTION: User 4: Question 585.; Timestamp: 2019-11-13 23:14:01.435
[Speaker Local]: QUESTION: User 4: Question 432.; Timestamp: 2019-11-13 23:14:01.436
[Speaker Local]: QUESTION: User 4: Question 245.; Timestamp: 2019-11-13 23:14:01.436
[Speaker Local]: QUESTION: User 4: Question 699.; Timestamp: 2019-11-13 23:14:01.437
[Speaker Local]: QUESTION: User 4: Question 889.; Timestamp: 2019-11-13 23:14:01.437
[Speaker Local]: QUESTION: User 4: Question 554.; Timestamp: 2019-11-13 23:14:01.438
[Speaker Local]: QUESTION: User 4: Question 870.; Timestamp: 2019-11-13 23:14:01.438
[Speaker Local]: QUESTION: User 4: Question 860.; Timestamp: 2019-11-13 23:14:01.439
[Speaker Local]: QUESTION: User 4: Question 986.; Timestamp: 2019-11-13 23:14:01.439
[Speaker Local]: QUESTION: User 4: Question 628.; Timestamp: 2019-11-13 23:14:01.44
[Speaker Local]: QUESTION: User 4: Question 854.; Timestamp: 2019-11-13 23:14:01.44
[Speaker Local]: QUESTION: User 4: Question 768.; Timestamp: 2019-11-13 23:14:01.441
[Speaker Local]: QUESTION: User 4: Question 362.; Timestamp: 2019-11-13 23:14:01.441
[Speaker Local]: QUESTION: User 4: Question 202.; Timestamp: 2019-11-13 23:14:01.442
[Speaker Local]: QUESTION: User 4: Question 503.; Timestamp: 2019-11-13 23:14:01.442
[Speaker Local]: QUESTION: User 4: Question 713.; Timestamp: 2019-11-13 23:14:01.443
[Speaker Local]: QUESTION: User 4: Question 656.; Timestamp: 2019-11-13 23:14:01.443
[Speaker Local]: QUESTION: User 4: Question 976.; Timestamp: 2019-11-13 23:14:01.444
[Speaker Local]: QUESTION: User 4: Question 562.; Timestamp: 2019-11-13 23:14:01.444
[Speaker Local]: QUESTION: User 4: Question 594.; Timestamp: 2019-11-13 23:14:01.445
[Speaker Local]: QUESTION: User 4: Question 543.; Timestamp: 2019-11-13 23:14:01.445
[Speaker Local]: QUESTION: User 4: Question 662.; Timestamp: 2019-11-13 23:14:01.446
[Speaker Local]: QUESTION: User 4: Question 704.; Timestamp: 2019-11-13 23:14:01.447
[Speaker Local]: QUESTION: User 4: Question 820.; Timestamp: 2019-11-13 23:14:01.447
[Speaker Local]: QUESTION: User 4: Question 919.; Timestamp: 2019-11-13 23:14:01.448
[Speaker Local]: QUESTION: User 4: Question 930.; Timestamp: 2019-11-13 23:14:01.448
[Speaker Local]: QUESTION: User 4: Question 162.; Timestamp: 2019-11-13 23:14:01.449
[Speaker Local]: QUESTION: User 4: Question 118.; Timestamp: 2019-11-13 23:14:01.449
[Speaker Local]: QUESTION: User 4: Question 288.; Timestamp: 2019-11-13 23:14:01.45
[Speaker Local]: QUESTION: User 4: Question 176.; Timestamp: 2019-11-13 23:14:01.45
[Speaker Local]: QUESTION: User 4: Question 712.; Timestamp: 2019-11-13 23:14:01.451
[Speaker Local]: QUESTION: User 4: Question 446.; Timestamp: 2019-11-13 23:14:01.451
[Speaker Local]: QUESTION: User 4: Question 35.; Timestamp: 2019-11-13 23:14:01.452
[Speaker Local]: QUESTION: User 4: Question 624.; Timestamp: 2019-11-13 23:14:01.452
[Speaker Local]: QUESTION: User 4: Question 172.; Timestamp: 2019-11-13 23:14:01.453
[Speaker Local]: QUESTION: User 4: Question 546.; Timestamp: 2019-11-13 23:14:01.453
[Speaker Local]: QUESTION: User 4: Question 278.; Timestamp: 2019-11-13 23:14:01.454
[Speaker Local]: QUESTION: User 4: Question 340.; Timestamp: 2019-11-13 23:14:01.454
[Speaker Local]: QUESTION: User 4: Question 471.; Timestamp: 2019-11-13 23:14:01.455
[Speaker Local]: QUESTION: User 4: Question 183.; Timestamp: 2019-11-13 23:14:01.455
[Speaker Local]: QUESTION: User 4: Question 876.; Timestamp: 2019-11-13 23:14:01.456
