Received speaker: uan://localhost:3030/id74 to register with server uan://localhost:3030/id1
Speaker started with uan: uan://localhost:3030/id74
[Speaker Local]: ANSWER: User 64: Answer 248.; Timestamp: 2019-11-13 23:16:21.426
[Speaker Local]: ANSWER: User 64: Answer 937.; Timestamp: 2019-11-13 23:16:22.605
[Speaker Local]: ANSWER: User 64: Answer 680.; Timestamp: 2019-11-13 23:16:22.606
[Speaker Local]: ANSWER: User 64: Answer 573.; Timestamp: 2019-11-13 23:16:22.606
[Speaker Local]: ANSWER: User 64: Answer 765.; Timestamp: 2019-11-13 23:16:22.607
[Speaker Local]: ANSWER: User 64: Answer 185.; Timestamp: 2019-11-13 23:16:22.609
[Speaker Local]: ANSWER: User 64: Answer 268.; Timestamp: 2019-11-13 23:16:22.61
[Speaker Local]: ANSWER: User 64: Answer 492.; Timestamp: 2019-11-13 23:16:22.611
[Speaker Local]: ANSWER: User 64: Answer 123.; Timestamp: 2019-11-13 23:16:29.425
[Speaker Local]: ANSWER: User 64: Answer 428.; Timestamp: 2019-11-13 23:16:29.426
[Speaker Local]: ANSWER: User 64: Answer 483.; Timestamp: 2019-11-13 23:16:29.427
[Speaker Local]: ANSWER: User 64: Answer 695.; Timestamp: 2019-11-13 23:16:29.428
[Speaker Local]: ANSWER: User 64: Answer 540.; Timestamp: 2019-11-13 23:16:29.43
[Speaker Local]: ANSWER: User 64: Answer 70.; Timestamp: 2019-11-13 23:16:29.431
[Speaker Local]: ANSWER: User 64: Answer 984.; Timestamp: 2019-11-13 23:16:29.432
[Speaker Local]: ANSWER: User 64: Answer 595.; Timestamp: 2019-11-13 23:16:29.435
[Speaker Local]: ANSWER: User 64: Answer 360.; Timestamp: 2019-11-13 23:16:29.436
[Speaker Local]: ANSWER: User 64: Answer 590.; Timestamp: 2019-11-13 23:16:29.437
[Speaker Local]: ANSWER: User 64: Answer 226.; Timestamp: 2019-11-13 23:16:29.438
[Speaker Local]: ANSWER: User 64: Answer 386.; Timestamp: 2019-11-13 23:16:29.439
[Speaker Local]: ANSWER: User 64: Answer 198.; Timestamp: 2019-11-13 23:16:29.44
[Speaker Local]: ANSWER: User 64: Answer 84.; Timestamp: 2019-11-13 23:16:29.441
[Speaker Local]: ANSWER: User 64: Answer 197.; Timestamp: 2019-11-13 23:16:29.442
[Speaker Local]: ANSWER: User 64: Answer 377.; Timestamp: 2019-11-13 23:16:29.443
[Speaker Local]: ANSWER: User 64: Answer 496.; Timestamp: 2019-11-13 23:16:29.444
[Speaker Local]: ANSWER: User 64: Answer 57.; Timestamp: 2019-11-13 23:16:29.445
[Speaker Local]: ANSWER: User 64: Answer 665.; Timestamp: 2019-11-13 23:16:29.446
[Speaker Local]: ANSWER: User 64: Answer 106.; Timestamp: 2019-11-13 23:16:29.447
[Speaker Local]: ANSWER: User 64: Answer 807.; Timestamp: 2019-11-13 23:16:29.448
[Speaker Local]: ANSWER: User 64: Answer 54.; Timestamp: 2019-11-13 23:16:29.449
[Speaker Local]: ANSWER: User 64: Answer 890.; Timestamp: 2019-11-13 23:16:29.45
[Speaker Local]: ANSWER: User 64: Answer 211.; Timestamp: 2019-11-13 23:16:29.452
[Speaker Local]: ANSWER: User 64: Answer 338.; Timestamp: 2019-11-13 23:16:29.453
[Speaker Local]: ANSWER: User 64: Answer 161.; Timestamp: 2019-11-13 23:16:29.454
[Speaker Local]: ANSWER: User 64: Answer 691.; Timestamp: 2019-11-13 23:16:29.455
[Speaker Local]: ANSWER: User 64: Answer 871.; Timestamp: 2019-11-13 23:16:29.455
[Speaker Local]: ANSWER: User 64: Answer 225.; Timestamp: 2019-11-13 23:16:29.456
[Speaker Local]: ANSWER: User 64: Answer 925.; Timestamp: 2019-11-13 23:16:43.768
[Speaker Local]: ANSWER: User 64: Answer 383.; Timestamp: 2019-11-13 23:16:43.77
[Speaker Local]: ANSWER: User 64: Answer 815.; Timestamp: 2019-11-13 23:16:43.863
[Speaker Local]: ANSWER: User 64: Answer 101.; Timestamp: 2019-11-13 23:16:43.864
[Speaker Local]: ANSWER: User 64: Answer 255.; Timestamp: 2019-11-13 23:16:44.851
[Speaker Local]: ANSWER: User 64: Answer 874.; Timestamp: 2019-11-13 23:16:44.852
[Speaker Local]: ANSWER: User 64: Answer 848.; Timestamp: 2019-11-13 23:16:45.031
[Speaker Local]: ANSWER: User 64: Answer 477.; Timestamp: 2019-11-13 23:16:45.321
[Speaker Local]: ANSWER: User 64: Answer 773.; Timestamp: 2019-11-13 23:16:45.322
[Speaker Local]: ANSWER: User 64: Answer 199.; Timestamp: 2019-11-13 23:16:45.38
[Speaker Local]: ANSWER: User 64: Answer 411.; Timestamp: 2019-11-13 23:16:45.381
[Speaker Local]: ANSWER: User 64: Answer 434.; Timestamp: 2019-11-13 23:16:45.382
[Speaker Local]: ANSWER: User 64: Answer 217.; Timestamp: 2019-11-13 23:16:45.382
[Speaker Local]: ANSWER: User 64: Answer 316.; Timestamp: 2019-11-13 23:16:45.383
[Speaker Local]: ANSWER: User 64: Answer 399.; Timestamp: 2019-11-13 23:16:45.383
[Speaker Local]: ANSWER: User 64: Answer 742.; Timestamp: 2019-11-13 23:16:45.384
[Speaker Local]: ANSWER: User 64: Answer 734.; Timestamp: 2019-11-13 23:16:45.384
[Speaker Local]: ANSWER: User 64: Answer 352.; Timestamp: 2019-11-13 23:16:45.385
[Speaker Local]: ANSWER: User 64: Answer 93.; Timestamp: 2019-11-13 23:16:45.385
[Speaker Local]: ANSWER: User 64: Answer 544.; Timestamp: 2019-11-13 23:16:45.385
[Speaker Local]: ANSWER: User 64: Answer 863.; Timestamp: 2019-11-13 23:16:45.386
[Speaker Local]: ANSWER: User 64: Answer 488.; Timestamp: 2019-11-13 23:16:46.467
[Speaker Local]: ANSWER: User 64: Answer 797.; Timestamp: 2019-11-13 23:16:46.468
[Speaker Local]: ANSWER: User 64: Answer 714.; Timestamp: 2019-11-13 23:16:46.486
[Speaker Local]: ANSWER: User 64: Answer 448.; Timestamp: 2019-11-13 23:16:46.487
