Received speaker: uan://localhost:3030/id47 to register with server uan://localhost:3030/id1
Speaker started with uan: uan://localhost:3030/id47
[Speaker Local]: ANSWER: User 37: Answer 253.; Timestamp: 2019-11-13 23:14:49.267
[Speaker Local]: ANSWER: User 37: Answer 500.; Timestamp: 2019-11-13 23:14:52.258
[Speaker Local]: ANSWER: User 37: Answer 473.; Timestamp: 2019-11-13 23:14:52.259
[Speaker Local]: ANSWER: User 37: Answer 585.; Timestamp: 2019-11-13 23:14:52.26
[Speaker Local]: ANSWER: User 37: Answer 591.; Timestamp: 2019-11-13 23:14:52.261
[Speaker Local]: ANSWER: User 37: Answer 7.; Timestamp: 2019-11-13 23:14:52.263
[Speaker Local]: ANSWER: User 37: Answer 750.; Timestamp: 2019-11-13 23:14:52.264
[Speaker Local]: ANSWER: User 37: Answer 630.; Timestamp: 2019-11-13 23:14:52.265
[Speaker Local]: ANSWER: User 37: Answer 903.; Timestamp: 2019-11-13 23:14:52.266
[Speaker Local]: ANSWER: User 37: Answer 245.; Timestamp: 2019-11-13 23:14:52.267
[Speaker Local]: ANSWER: User 37: Answer 451.; Timestamp: 2019-11-13 23:14:52.268
[Speaker Local]: ANSWER: User 37: Answer 717.; Timestamp: 2019-11-13 23:14:52.269
[Speaker Local]: ANSWER: User 37: Answer 972.; Timestamp: 2019-11-13 23:14:52.27
[Speaker Local]: ANSWER: User 37: Answer 142.; Timestamp: 2019-11-13 23:14:52.274
[Speaker Local]: ANSWER: User 37: Answer 902.; Timestamp: 2019-11-13 23:14:52.278
[Speaker Local]: ANSWER: User 37: Answer 736.; Timestamp: 2019-11-13 23:14:52.28
[Speaker Local]: ANSWER: User 37: Answer 251.; Timestamp: 2019-11-13 23:14:52.281
[Speaker Local]: ANSWER: User 37: Answer 286.; Timestamp: 2019-11-13 23:14:52.282
[Speaker Local]: ANSWER: User 37: Answer 257.; Timestamp: 2019-11-13 23:14:52.283
[Speaker Local]: ANSWER: User 37: Answer 834.; Timestamp: 2019-11-13 23:14:52.286
[Speaker Local]: ANSWER: User 37: Answer 506.; Timestamp: 2019-11-13 23:14:52.287
[Speaker Local]: ANSWER: User 37: Answer 599.; Timestamp: 2019-11-13 23:14:52.288
[Speaker Local]: ANSWER: User 37: Answer 324.; Timestamp: 2019-11-13 23:14:52.29
[Speaker Local]: ANSWER: User 37: Answer 649.; Timestamp: 2019-11-13 23:14:52.291
[Speaker Local]: ANSWER: User 37: Answer 530.; Timestamp: 2019-11-13 23:14:52.292
