Round One: Running causal simple with five users where one sends three questions at the start and the rest send three responses
===============================================================================================================================
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
Are the questions first: Yes; Is this FIFO ordered: Yes; overall runtime: None; overall latency: 0.0
